Entry,pstr_c3,pstr_c5,pstr_c7,pstr_c8,pstr_d3,pstr_d5,pstr_d7
Q9FPH3,136,61,141,52,109,9,14
Q9FPJ5,0,0,0,0,0,0,0
Q9FPR3,63,81,86,41,114,18,6
Q9FPS2,11,23,10,0,10,0,0
Q9FPS4,174,108,503,193,240,61,1
Q9FPT1,50,27,95,20,47,16,8
Q9FQ25,37,17,24,42,7,9,0
Q9FR44,64,51,267,144,122,25,11
Q9FR62,75,44,83,58,75,21,6
Q9FRL8,8,22,49,4,26,4,0
Q9FSY7,0,0,0,0,0,0,0
Q9FT73,47,32,36,34,56,14,3
Q9FT97,67,93,218,111,97,22,14
Q9FUG4,128,62,139,130,140,41,8
Q9FUZ0,63,54,98,29,73,18,10
Q9FUZ2,28,27,22,12,81,14,0
Q9FV50,37,37,79,10,61,10,7
Q9FVJ3,41,50,69,19,74,21,15
Q9FVN0,10,2,40,0,3,0,0
Q9FVQ4,131,128,323,121,194,17,19
Q9FVR6,102,151,239,174,193,34,22
Q9FWC1,8,16,4,0,12,13,0
Q9FWR2,88,1,139,46,73,10,2
Q9FWR4,85,52,88,64,65,15,30
Q9FWS4,39,29,156,39,75,13,3
Q9FWX6,11,6,10,10,4,1,0
Q9FWX7,0,0,14,6,0,2,0
Q9FWY9,115,48,72,34,81,4,7
Q9FX01,203,122,382,151,303,66,17
Q9FXA2,58,17,60,11,57,7,0
Q9FXI7,45,33,157,44,59,22,19
Q9FY06,0,0,15,0,0,0,0
Q9FY46,187,173,481,147,215,44,5
Q9FY48,9,17,65,29,17,0,0
Q9FYA6,127,102,175,82,134,31,17
Q9FYE1,60,65,199,88,54,15,4
Q9FYE5,50,1,53,21,62,1,6
Q9FYK2,74,24,70,22,102,9,11
Q9FYL6,33,33,50,15,39,2,0
Q9FZ36,28,27,77,18,35,14,0
Q9FZ48,38,26,68,6,25,0,5
Q9FZE1,183,125,246,180,192,50,18
Q9FZI8,57,42,237,36,91,32,7
Q9GKW8,58,61,76,33,70,6,5
Q9GKX6,187,184,230,189,170,23,10
Q9GKY7,0,0,0,3,3,0,0
Q9GL24,3,0,11,0,7,4,0
Q9GL77,52,36,65,37,8,8,0
Q9GLW9,4,13,17,0,26,0,3
Q9GMY3,82,48,219,24,110,17,0
Q9GMY4,20,58,111,40,21,3,0
Q9GMY7,161,101,279,152,168,45,30
Q9GMY8,762,461,1273,550,601,118,58
Q9GPM4,113,103,567,111,147,24,0
Q9GPU2,0,0,0,0,0,0,0
Q9GR88,92,245,236,66,91,49,13
Q9GRJ3,1723,1003,2555,1312,1216,265,109
Q9GSB0,152,102,294,130,113,22,16
Q9GT45,197,5,325,258,214,3,18
Q9GTN7,1,2,5,0,8,0,0
Q9GTX8,12,15,19,12,11,2,0
Q9GU68,202,181,484,155,226,35,22
Q9GUI1,120,117,303,133,170,31,14
Q9GV16,127,123,253,99,211,45,23
