Entry,oann_c1,oann_c2,oann_c3,oann_c6,oann_c7,oann_c8,oann_d1,oann_d3,oann_d6,oann_d7,oann_d8
Q8LEB6,1,3,0,4,0,0,2,0,0,0,0
Q8LET2,10,11,5,11,12,9,2,2,8,3,6
Q8LGG8,1053,1796,682,1505,1335,1781,2650,2054,1994,1779,1440
Q8LHH9,2,4,4,5,0,3,0,3,0,0,1
Q8LPL3,3,1,4,2,5,3,1,1,0,6,4
Q8LPN7,485,273,557,656,812,284,333,430,34,132,662
Q8MI17,35,6,15,73,13,7,22,1,20,17,19
Q8MIQ9,361,258,137,712,445,191,228,147,49,170,283
Q8MIR4,138,160,82,171,156,111,147,60,75,72,88
Q8MIS5,2,1,0,4,2,4,3,0,0,1,4
Q8MJ24,0,0,0,1,0,0,0,0,0,0,0
Q8MJ44,497,571,443,765,835,463,783,612,606,894,482
Q8MJC3,31,37,66,124,66,41,45,36,47,77,35
Q8MJI9,21,23,1,19,8,0,4,4,0,11,1
Q8MJJ7,28,25,11,65,30,28,40,15,17,49,23
Q8MJY8,83,148,46,127,132,74,125,132,33,78,79
Q8MKW7,0,0,0,1,2,0,4,2,0,1,3
Q8MQJ9,28,68,36,97,35,32,42,32,3,24,30
Q8MR62,0,0,0,0,5,5,10,0,5,6,0
Q8MVR1,298,422,265,569,684,248,522,376,152,369,405
Q8MY86,3,0,0,4,9,0,2,1,0,0,4
Q8MYF0,543,518,471,695,599,343,535,420,193,185,447
Q8MZC4,41,34,47,32,30,2,40,30,1,15,29
Q8N0U4,35,80,18,66,65,39,55,17,12,37,21
Q8N0U7,47,63,24,43,51,24,26,30,27,102,28
Q8N0W4,156,109,57,239,217,54,178,60,75,109,121
Q8N0X4,186,234,152,328,231,158,215,180,106,252,152
Q8N118,214,266,126,358,306,151,214,190,110,229,161
Q8N122,8,6,0,19,9,11,5,1,6,18,2
Q8N137,185,241,134,240,237,162,195,131,67,158,125
Q8N157,197,260,143,290,296,124,203,155,53,102,167
Q8N159,14,4,2,15,10,0,20,5,5,3,9
Q8N187,53,61,80,127,113,85,43,71,10,41,91
Q8N1A6,25,117,18,175,31,43,49,34,103,107,42
Q8N1B4,47,36,9,112,77,25,20,8,12,11,35
Q8N1D5,19,47,13,29,14,8,86,44,31,57,16
Q8N1E6,53,72,23,97,100,21,70,41,8,25,58
Q8N1V2,241,318,76,199,330,187,471,305,110,527,146
Q8N201,11,2,5,47,12,7,11,0,2,39,10
Q8N264,278,314,221,461,388,191,178,185,91,473,196
Q8N2C7,80,102,59,260,157,75,82,57,75,172,113
Q8N2E2,578,365,229,538,462,279,538,230,208,297,380
Q8N2I9,122,161,135,211,180,90,181,155,43,88,133
Q8N2K1,28,63,35,99,64,38,57,92,124,108,55
Q8N371,425,706,447,943,537,294,513,636,369,383,379
Q8N3C7,25,1,10,33,8,14,11,13,11,24,6
Q8N3J2,6,21,10,29,20,3,13,3,3,10,18
Q8N3R9,17,22,10,40,19,7,23,10,43,26,17
Q8N3X1,50,31,16,120,108,41,43,6,15,92,70
Q8N3Z3,18,13,9,20,8,24,25,11,3,37,17
Q8N441,21,16,19,145,54,16,62,16,111,26,25
Q8N475,0,1,0,0,2,0,0,0,0,4,1
Q8N4B1,4,3,4,6,4,1,8,0,1,9,1
Q8N4P6,93,190,78,89,200,77,220,191,64,78,107
Q8N4S7,7,21,4,22,18,12,11,2,0,4,20
