Entry,oann_c1,oann_c2,oann_c3,oann_c6,oann_c7,oann_c8,oann_d1,oann_d3,oann_d6,oann_d7,oann_d8
A0A075F932,22,23,15,34,23,11,29,2,0,23,11
A0A089QRB9,16,897,6,200,201,121,994,1788,141,2623,139
A0A0A2JW91,0,0,0,0,1,0,0,0,0,7,0
A0A0B4J1F4,52,88,61,186,109,69,87,55,44,204,47
A0A0G2K047,744,919,544,823,1062,757,1058,1127,588,923,695
A0A0G2K2P5,270,557,108,650,476,164,234,247,59,349,287
A0A0G2KIZ8,2,4,0,6,0,0,0,2,3,5,5
A0A0G2KQY6,1,1,4,20,10,4,1,0,3,13,5
A0A0G2L7I0,7,4,4,10,2,5,9,11,3,1,5
A0A0P0XM10,119,97,44,135,89,52,116,35,19,35,60
A0A0R4I9Y1,4,4,0,7,8,3,0,0,5,7,2
A0A0R4IBK5,556,520,319,1087,831,410,202,263,135,436,519
A0A0R4IC37,291,274,125,331,344,144,280,227,77,149,198
A0A0R4IES7,0,2,3,0,0,2,10,0,0,4,1
A0A0R4IF99,0,0,1,7,1,2,6,1,0,6,1
A0A0R4IFG5,213,376,91,186,296,180,417,299,120,100,166
A0A0R4IKU3,36,0,0,12,20,0,1,0,0,3,2
A0A0R4IVA4,398,703,267,548,491,259,421,310,215,496,302
A0A0U1RQI7,218,77,75,362,522,406,60,52,22,71,421
A0A140C435,0,36,1,6,18,7,18,19,25,4,2
A0A166YZY4,563,649,410,961,609,420,606,534,219,484,406
A0A1B0GTI8,1290,2044,891,2469,1870,1362,1289,848,1058,2182,1127
A0A1B0GVH7,272,365,149,624,259,162,347,212,131,194,160
A0A1B4XBH3,0,13,0,2,1,2,6,19,3,47,4
A0A1B8YAB1,170,277,194,416,115,55,178,419,193,66,73
A0A1D3PCM3,236,854,161,399,278,205,176,80,163,156,176
A0A1D5P556,467,366,192,801,652,326,415,303,302,773,361
A0A1D5PRR9,60,0,16,98,55,7,43,3,7,41,26
A0A1D5PXA5,1,1,6,12,16,2,1,2,0,5,12
A0A1L8EXB5,3231,4272,1526,3488,3726,2254,3427,1995,1113,2750,1827
A0A1L8F5J9,28,8,11,20,29,34,14,11,2,28,16
A0A1L8G2K9,43,81,33,77,74,42,49,39,4,27,42
A0A1L8GXY4,576,766,181,409,464,316,1157,482,414,774,268
A0A1L8HCK2,0,7,2,14,0,2,8,3,1,8,5
A0A1L8HFX9,148,120,96,189,247,171,168,105,92,137,170
A0A1P8ASY1,0,0,0,1,0,1,2,0,0,3,0
A0A1V6PAF7,2,1,0,5,3,0,2,1,8,22,1
A0A286QZ36,979,1794,949,1619,1682,961,1001,901,528,1188,841
A0A287A2K5,0,1,0,3,1,1,0,0,0,0,1
A0A2D0TC04,10,7,1,23,17,4,8,0,0,18,24
A0A2P1BRQ0,3,5,0,9,9,0,0,0,1,0,2
A0A2R8Q1W5,151,148,77,444,168,64,44,60,18,65,65
A0A2R8Y619,52,91,0,76,60,38,81,4,20,27,29
A0A386CAB9,55,51,27,138,268,86,48,17,21,168,124
A0A3Q2TTB3,12,10,5,68,76,19,8,10,0,27,39
A0A411L030,851,360,599,1608,1017,356,1052,572,362,920,388
A0A452G813,28,7,0,41,25,10,17,28,37,74,30
A0A481NV25,99,160,223,231,203,109,158,180,193,114,148
A0A4X1UM84,0,2,0,1,0,0,2,0,3,0,0
A0AUS0,570,916,652,1123,772,570,843,824,885,946,583
A0AUT1,317,607,249,365,504,280,353,355,112,181,304
A0AVT1,55,23,1,98,81,30,29,12,5,33,68
A0FGR8,223,252,110,547,328,170,136,93,201,397,149
A0FI79,129,152,52,162,187,81,171,136,49,90,107
A0FKG7,17,25,16,53,48,28,38,24,8,31,23
A0FKN6,0,0,0,0,0,0,0,4,4,0,0
A0JC51,186,148,102,241,167,123,165,48,17,208,130
A0JJX5,0,0,0,0,3,0,0,0,0,3,0
A0JM12,4,0,0,3,0,0,1,0,7,7,0
A0JM13,43,32,11,22,14,24,43,14,12,101,26
A0JM23,23,13,18,30,21,4,18,7,3,10,14
A0JM24,54,117,39,74,108,26,74,92,14,34,56
A0JM49,1,0,0,8,0,5,2,0,0,10,3
A0JM56,13,16,0,26,8,16,19,3,12,82,6
A0JM59,0,0,0,3,3,0,4,3,0,8,2
A0JMD0,25,18,3,60,47,14,31,11,40,63,15
A0JMD4,0,0,0,0,1,1,0,0,3,5,2
A0JME2,0,26,18,0,43,0,14,25,38,0,0
A0JMF1,3,1,0,15,5,0,0,1,0,16,8
A0JMH2,60,48,19,100,41,23,29,18,19,16,58
A0JML8,10,11,0,13,18,4,4,7,0,0,9
A0JMP0,6,0,1,4,2,0,0,0,0,1,0
A0JMT0,5,21,47,28,58,44,5,15,0,0,0
A0JMU5,55,321,53,76,191,195,187,217,120,248,193
A0JMY5,144,293,262,315,385,196,236,241,81,109,311
A0JMZ3,89,41,13,77,163,66,57,25,12,31,108
A0JN53,15,31,31,64,33,22,18,12,8,16,22
A0JN61,323,578,484,365,648,429,429,561,224,414,372
A0JN62,208,173,84,215,205,118,152,74,27,178,119
A0JN95,32,58,24,55,79,26,38,38,17,8,42
A0JNA3,0,18,0,27,25,47,0,30,28,44,4
A0JNC0,1416,1665,1178,2629,2275,1570,1205,1363,834,2743,1287
A0JNC2,169,152,109,627,196,132,178,59,167,267,229
A0JNG0,18,10,3,62,22,9,19,7,20,33,7
A0JNH6,3,2,3,4,0,2,6,0,0,10,1
A0JNI4,44,73,50,128,91,37,38,23,28,73,87
A0JNI5,1724,2417,1884,2263,2390,997,1659,1726,304,362,1998
A0JNJ3,75,234,112,184,122,78,42,211,33,0,72
A0JNK3,77,68,65,102,101,36,82,67,14,60,58
A0JP43,1,0,0,3,4,0,0,0,0,0,0
A0JP70,549,590,282,808,591,237,345,215,101,374,405
A0JP85,488,943,405,546,602,454,570,588,349,348,430
A0JP86,1231,1402,670,1817,1907,887,1197,1227,957,1459,832
A0JPE1,6,0,3,10,2,7,7,0,0,0,0
A0JPE9,3,0,2,9,8,0,9,0,1,27,8
A0JPG1,470,654,433,658,670,372,570,477,314,298,424
A0JPH4,0,0,6,7,2,4,3,0,7,15,5
A0JPH7,285,278,303,502,485,271,299,233,109,371,273
A0JPI9,544,730,283,686,768,341,837,541,147,418,386
A0JPN1,40,11,130,10,184,47,149,112,159,42,48
A0JPN4,617,856,475,1073,1197,475,1351,582,575,1006,504
A0JPP8,117,63,65,578,74,38,70,34,37,27,30
A0JPQ1,7,17,4,10,20,3,16,19,20,32,10
A0JPQ9,6,7,4,35,22,20,24,6,3,20,22
A0JZ09,1,17,0,15,19,11,2,0,0,0,2
A0LMC1,61,76,24,200,135,81,160,86,192,405,58
A0M8T5,0,0,2,7,0,1,0,7,2,7,0
A0MGZ5,128,128,82,157,152,97,115,70,60,180,84
A0MQH0,5,1,0,3,7,3,1,2,0,2,6
A0MSJ1,205,104,35,235,134,82,66,10,32,33,132
A0MTA1,199,254,250,263,216,171,143,178,56,151,135
A0NLY7,125,230,136,242,80,100,107,119,72,115,85
A0P9L2,90,142,75,132,151,121,143,94,46,117,69
A0PJE2,330,75,59,604,230,49,188,46,319,278,24
A0PJN4,284,283,193,435,370,240,317,279,169,319,225
A0PJR5,119,54,51,139,83,48,58,20,15,52,73
A0PJY2,4,2,4,5,10,3,9,4,0,0,3
A0QV10,102,147,30,114,118,77,111,47,31,95,79
A0SXL6,2295,7751,3789,2993,3154,2846,4766,5912,2933,635,2136
A0ZSK4,3,2,0,10,11,1,0,2,6,0,0
A1A4J6,9,0,3,15,5,5,6,7,6,9,5
A1A4J7,7,1,0,7,9,1,0,0,2,3,0
A1A4J8,108,89,50,165,102,40,159,76,110,133,53
A1A4K8,327,822,420,1498,464,592,289,508,323,754,623
A1A4N1,887,483,507,1635,1094,509,1075,429,716,1292,539
A1A4R8,63,37,17,56,38,30,43,18,15,39,39
A1A5F2,295,45,42,829,636,347,332,27,153,284,727
A1A5G0,17,22,122,36,6,25,16,37,34,14,22
A1A5G2,0,0,0,7,5,11,8,0,16,12,5
A1A5K2,23,4,0,28,12,10,2,8,8,20,7
A1A5Q4,156,435,68,182,228,141,503,381,207,183,134
A1A5V7,3,2,2,6,0,1,4,4,0,2,3
A1A5V9,71,104,175,176,114,79,112,118,59,87,95
A1A5X2,2,8,0,8,1,0,4,8,0,8,2
A1AU48,0,0,0,0,0,0,0,0,0,0,1
A1DAY1,0,0,0,0,0,0,0,0,0,0,0
A1DPK7,469,1203,377,739,546,389,981,754,297,483,334
A1DWM3,19,21,8,30,24,7,5,5,3,28,9
A1IGU4,193,158,121,403,291,112,171,62,80,185,106
A1KZ92,575,848,275,1371,407,410,232,350,197,378,414
A1L020,16,4,3,25,28,1,2,0,1,4,23
A1L0Y2,222,188,155,367,423,212,193,141,57,253,283
A1L108,307,461,261,499,407,309,484,272,220,432,240
A1L112,114,107,79,257,198,66,172,50,88,176,79
A1L157,39,27,10,47,40,13,29,12,11,49,32
A1L1C7,343,353,268,640,647,239,327,268,98,289,363
A1L1H3,3,0,0,0,3,1,2,0,0,2,3
A1L1P7,43,72,41,73,70,40,46,57,28,64,36
A1L1R0,23,19,17,15,22,4,17,20,4,6,28
A1L1R5,1,0,0,10,0,0,0,1,4,3,6
A1L1W9,1710,1273,799,3880,3120,1812,3482,1961,3643,3192,1685
A1L209,74,74,75,75,125,77,75,64,23,81,83
A1L224,40,52,37,106,63,38,35,18,7,25,45
A1L253,0,0,0,4,0,0,0,9,0,4,0
A1L258,4,11,5,32,18,2,9,7,0,16,11
A1L259,39,73,16,62,36,26,29,22,11,37,10
A1L2F3,107,115,114,147,153,54,134,66,7,87,108
A1L2I9,110,265,87,239,178,92,157,83,70,94,125
A1L2T6,60,62,50,102,98,26,85,25,24,37,48
A1L3F5,217,216,151,609,268,275,515,307,1259,429,291
A1L3G4,88,111,103,153,133,59,94,113,28,25,135
A1R8N8,260,266,135,381,340,90,257,164,53,100,193
A1VBA6,80,72,28,92,89,46,52,20,29,34,32
A1YER2,4,9,15,26,8,4,7,12,2,32,10
A1YF12,17,14,15,26,33,23,16,5,0,30,6
A1YGA4,14,37,12,61,10,20,34,20,23,37,23
A1Z6E0,207,153,192,395,307,230,467,472,1277,439,214
A1Z713,236,240,70,446,385,200,144,116,44,281,315
A1Z7A6,0,3,3,5,0,0,0,0,0,0,0
A1Z9G2,0,0,0,0,2,0,0,0,0,0,0
A1ZA47,103,156,116,363,268,184,200,173,364,583,223
A1ZAJ2,543,281,236,247,309,91,320,203,41,25,171
A1ZAY1,3468,774,4010,4603,3252,2411,1364,2118,494,2317,2245
A2A259,31,44,47,88,116,56,49,25,149,67,56
A2A3K4,4,3,0,0,0,0,4,0,1,0,3
A2A3L6,65,71,53,121,116,65,105,60,43,126,55
A2A3V2,69,70,81,51,68,38,33,75,9,36,38
A2A432,4,8,0,5,9,0,2,0,1,2,5
A2A4P0,0,2,0,0,0,6,0,0,0,0,0
A2A6A1,44,34,7,59,29,29,42,20,5,25,43
A2A761,51,35,30,116,84,43,83,42,36,62,62
A2A870,96,116,116,198,195,161,107,101,95,243,111
A2A891,0,0,0,3,10,0,4,0,9,0,8
A2A8L5,29,78,4,101,64,10,14,10,6,56,32
A2A8Z1,462,282,380,529,480,243,463,452,93,107,321
A2A9C3,6,9,16,14,8,0,16,5,3,10,9
A2AAY5,407,837,860,3061,443,799,712,1571,1509,918,831
A2ABV5,167,357,126,335,252,102,268,201,74,131,175
A2ACG1,7,44,16,102,51,38,60,11,0,66,46
A2ACP1,6,5,4,6,3,4,2,6,1,7,1
A2AF47,8,4,0,10,17,3,9,6,5,22,9
A2AF53,27,21,30,89,34,13,15,28,10,7,26
A2AFS3,147,92,29,528,309,114,144,99,157,906,138
A2AG06,536,668,399,909,786,575,747,632,471,958,538
A2AGT5,328,381,202,524,534,265,472,208,127,391,301
A2AGX3,4,6,6,3,2,1,1,0,6,9,2
A2AH22,170,67,56,691,345,117,425,172,241,407,141
A2AHJ4,58,14,18,100,59,19,40,26,4,103,52
A2AHL1,0,1,0,19,5,0,1,0,1,0,3
A2AIV2,413,578,379,695,665,420,518,401,365,327,461
A2AIW0,109,96,46,114,120,71,73,50,55,92,71
A2AJ76,254,244,236,691,302,217,254,125,403,311,214
A2AJ77,59,51,29,42,55,38,44,45,14,37,36
A2AKB4,0,0,0,2,0,0,1,0,0,3,0
A2AKG8,63,21,6,166,180,18,55,6,6,79,80
A2AKQ0,12,16,0,30,5,1,31,5,6,3,4
A2AKX3,5,1,0,19,13,7,9,0,9,19,8
A2AL36,0,1,0,13,7,3,1,0,7,14,3
A2AM05,63,63,27,53,45,26,58,36,17,57,30
A2AM29,5,8,10,24,22,4,6,11,19,17,9
A2AN08,0,2,0,9,6,4,4,2,7,39,1
A2AP18,68,92,40,73,95,71,22,37,11,5,72
A2AR02,167,336,206,437,393,228,252,230,156,186,278
A2AR50,6,0,0,20,12,0,3,0,3,5,3
A2ARS0,138,290,145,218,297,195,415,460,172,152,158
A2ARV4,4,4,0,11,6,2,0,0,2,24,4
A2AS55,2,24,36,28,25,6,9,15,4,6,6
A2ASQ1,3,1,0,8,8,6,6,3,52,57,2
A2ASS6,0,0,0,1,0,0,0,0,1,5,0
A2AT37,708,636,315,908,908,420,898,433,248,495,550
A2AU72,52,90,19,64,73,51,184,89,27,103,71
A2AUM9,193,148,198,225,159,72,275,219,31,119,74
A2AVA0,500,1130,242,1151,726,345,436,249,217,498,527
A2AVQ5,1,0,0,2,0,8,0,0,0,0,2
A2AWA9,393,575,262,653,551,302,478,283,196,501,304
A2AX52,3443,2354,1742,3480,2090,1599,1422,907,1021,561,1536
A2BEA6,27,39,20,105,34,45,17,22,20,83,66
A2BFP5,488,598,474,672,867,279,561,537,226,165,624
A2BGS3,255,259,126,632,411,135,255,122,182,180,210
A2BGT0,78,26,15,59,28,23,47,0,5,11,41
A2BGU9,79,143,34,192,66,45,93,47,88,73,38
A2BIL7,49,79,21,70,115,61,57,24,0,36,94
A2CE44,109,82,59,144,112,68,154,91,31,46,91
A2CEA7,67,53,41,117,172,83,88,25,41,63,104
A2CEI4,315,196,222,358,368,145,234,93,42,82,163
A2CG49,0,2,1,14,11,10,1,0,1,31,7
A2CG63,469,413,365,757,754,356,508,334,250,537,334
A2CI34,4,14,9,7,4,1,3,8,0,0,7
A2CI35,15,5,4,23,27,2,14,8,0,3,9
A2QHV0,28,36,30,40,16,13,27,26,16,9,10
A2RRH5,432,523,289,525,737,449,1001,628,699,492,418
A2RRP1,69,65,25,280,167,65,76,46,106,156,92
A2RRS8,171,137,151,311,296,109,132,103,18,116,218
A2RRU1,1051,766,459,1468,983,613,653,505,321,853,520
A2RRV3,499,562,314,557,673,370,594,616,314,718,363
A2RSJ4,238,248,198,429,226,160,218,144,143,292,200
A2RSX4,431,725,256,421,776,472,834,649,246,582,550
A2RSY1,204,205,110,318,272,157,198,160,61,105,173
A2RT67,9,3,1,86,16,15,6,6,5,8,6
A2RT91,66,46,13,116,98,39,141,24,77,173,46
A2RU49,1,29,2,23,8,18,14,5,5,19,8
A2RUS2,5,1,2,49,30,5,1,6,0,7,3
A2RUV9,15,12,0,50,62,2,16,0,7,56,22
A2RV01,13,12,10,50,42,18,12,17,17,37,20
A2RV61,6,4,0,1,2,0,0,0,6,0,2
A2RV80,332,397,354,552,444,178,285,336,120,265,209
A2SWM2,432,557,281,731,593,375,468,300,442,495,384
A2T779,5,6,1,24,17,4,8,24,0,14,4
A2TLM1,10,7,0,29,11,11,7,17,1,19,7
A2VD82,20,14,2,11,13,10,17,4,6,16,2
A2VD93,108,169,99,158,141,74,173,112,66,39,111
A2VDD2,763,1012,616,1451,1228,970,1234,860,488,1340,839
A2VDN6,494,620,355,717,608,501,668,478,371,689,425
A2VDQ7,75,77,65,81,103,102,117,72,8,49,43
A2VDR8,127,204,164,222,251,144,153,102,80,94,139
A2VDS1,131,145,104,191,138,87,179,82,43,78,73
A2VDT1,1270,936,583,1554,1941,1294,2286,996,1277,1986,1039
A2VDZ9,612,890,455,716,823,558,680,473,347,465,465
A2VE45,374,599,183,408,531,206,477,349,102,378,317
A2VE47,230,248,106,230,270,163,205,167,135,193,147
A2VE52,72,61,30,105,148,92,61,12,24,43,65
A2VE56,1,0,0,1,0,1,2,0,0,5,0
A2VE79,606,791,441,692,747,408,474,403,363,346,391
A2VEC9,0,2,0,8,4,0,0,0,5,4,0
A3AVH5,0,0,0,5,0,3,0,0,0,0,0
A3BF39,407,633,349,1057,822,485,819,507,952,577,548
A3FEM2,215,146,146,938,469,315,389,214,776,530,395
A3FPG8,39,16,4,40,22,11,5,3,3,15,14
A3KG59,104,144,78,159,139,70,170,34,64,137,72
A3KGZ2,64,32,52,67,96,50,56,80,11,36,75
A3KMH1,2,4,0,12,1,0,0,1,12,12,8
A3KMV5,610,836,341,1065,768,432,1055,670,437,813,464
A3KMX0,156,172,143,280,332,177,129,212,83,164,170
A3KN83,646,673,428,1358,1190,462,571,592,472,674,592
A3KN95,349,368,297,725,533,992,1748,1605,5863,1139,931
A3KNS2,0,1,0,0,0,6,4,0,3,0,0
A3KP77,74,98,50,174,158,70,104,78,62,75,86
A3KPN8,212,118,45,279,149,53,215,60,56,82,66
A3KPP4,25,58,22,64,33,15,18,17,14,32,19
A3KQS4,15,12,19,59,30,22,35,3,23,96,13
A3RK75,1,6,74,43,28,35,101,78,308,26,50
A4D0S4,0,0,0,5,4,5,0,5,5,0,0
A4D0V7,300,453,298,564,565,307,242,226,129,311,285
A4D263,96,225,79,220,116,80,137,217,78,91,77
A4D2P6,313,483,322,434,520,274,554,364,184,471,311
A4FU69,83,117,33,106,123,52,122,73,49,208,66
A4FUB0,46,67,76,90,94,32,39,57,16,37,52
A4FUH5,25,35,11,62,31,13,68,10,5,40,27
A4FUI1,10,6,5,18,7,10,10,1,3,5,3
A4FUN7,4,0,0,0,0,0,2,0,0,0,0
A4FUP9,119,63,119,391,249,85,85,82,13,38,138
A4FUW8,2,0,0,5,3,0,0,0,0,0,0
A4FUY7,9,12,10,57,16,19,11,11,5,51,20
A4FV08,4,17,0,35,15,4,18,21,33,15,20
A4FV45,5,5,5,17,17,6,12,0,0,15,5
A4FV72,180,191,124,188,318,181,205,119,63,250,145
A4FV84,30,30,49,33,36,19,41,45,14,12,9
A4GT88,10,9,0,15,6,37,231,15,681,6,22
A4GTP4,530,847,374,626,584,402,928,1346,61,919,362
A4IF62,124,97,40,184,122,66,154,40,54,111,97
A4IF63,74,73,38,85,50,29,47,25,70,22,26
A4IF69,1,0,0,13,8,1,0,5,9,6,1
A4IF90,1294,1669,1039,1579,1831,1100,1371,1249,717,1368,1049
A4IF93,79,87,49,114,108,60,42,24,11,36,89
A4IF97,876,1067,586,1229,1075,826,1141,525,491,1231,649
A4IFB1,19,32,9,115,44,31,23,12,8,77,68
A4IFD8,1,2,6,2,7,2,2,5,10,5,1
A4IFH5,64,45,49,125,83,23,44,45,43,53,45
A4IFW2,26,8,9,70,41,23,5,17,29,82,34
A4IG59,11,8,8,21,4,4,19,17,6,13,5
A4IG62,55,28,16,93,41,13,40,10,26,25,43
A4IG66,5,4,0,9,6,1,0,0,1,0,4
A4IGD2,49,82,38,317,59,75,148,75,876,47,77
A4IGH2,46,60,28,110,62,26,52,29,29,7,38
A4IGL7,567,581,250,1777,705,488,1172,304,1489,1369,483
A4IGM4,26,34,5,26,28,13,53,16,10,41,15
A4IGP0,0,0,0,5,7,0,5,0,2,2,0
A4IGY6,203,150,128,791,279,144,136,61,44,275,226
A4IH75,24,26,15,37,23,9,25,22,9,2,15
A4IH88,27,38,15,159,66,53,47,10,77,146,77
A4IHD2,213,278,176,318,368,191,166,128,81,280,154
A4IHS2,15,3,0,18,11,3,12,4,1,14,8
A4IHT0,19,34,34,18,65,14,51,48,2,41,31
A4IHW3,63,69,32,119,40,10,46,7,12,24,24
A4II09,186,374,112,320,236,84,308,204,93,111,164
A4II46,2,0,0,2,0,0,0,5,5,0,4
A4II73,35,20,20,48,50,22,66,11,3,11,21
A4IIC5,97,119,69,234,144,66,124,94,177,154,72
A4III8,128,132,71,196,175,99,291,138,67,178,108
A4IIJ3,431,316,184,614,644,228,615,249,189,473,292
A4IIK1,128,187,69,165,188,81,90,15,25,99,98
A4IIW0,29,39,9,20,34,15,39,12,9,30,10
A4IIZ9,18,76,42,102,26,70,29,55,66,73,38
A4IJ15,85,107,45,101,103,84,96,73,31,90,48
A4IJ21,0,0,0,0,0,3,0,0,0,0,0
A4ITQ2,53,234,4,40,0,0,0,0,7,0,0
A4K526,41,60,23,68,32,31,43,34,14,59,38
A4L691,56,163,176,179,126,93,216,260,206,73,123
A4Q9E5,75,81,16,140,106,111,155,82,68,95,87
A4QND0,5,1,3,17,0,9,0,0,1,1,0
A4QNE6,72,110,48,118,128,82,123,56,61,86,69
A4QNN3,597,439,247,556,591,325,604,243,272,199,320
A4QNP7,934,679,376,1376,1040,556,1103,427,625,834,451
A4QNS7,78,47,44,130,114,68,73,44,57,81,47
A4QP73,1,2,0,15,1,0,1,1,3,0,0
A4QP78,0,5,0,4,1,5,1,2,6,13,2
A4QP81,25,14,6,42,43,19,9,16,38,46,18
A4RGT4,1,0,0,7,0,0,0,6,4,0,1
A4T324,0,1,0,2,2,0,1,0,0,6,2
A4UTP7,332,213,183,2696,319,249,335,292,544,2116,220
A4YEN4,514,433,249,1141,839,344,309,190,64,299,755
A4YI89,486,420,311,676,522,428,421,454,469,421,540
A4Z6H1,18,16,7,42,22,12,15,3,16,47,15
A4ZNR5,215,260,148,448,347,222,317,123,361,396,236
A5A4L1,0,3,0,0,3,5,1,5,1,0,4
A5ABH0,3,1,0,7,10,5,5,0,0,0,3
A5D6U8,1541,1693,929,2433,1665,1109,2073,1108,1050,1984,980
A5D794,77,131,35,197,115,92,108,52,42,155,74
A5D7C1,0,0,1,5,1,4,0,0,0,0,1
A5D7E2,85,47,23,271,127,61,83,25,101,197,56
A5D7H2,0,0,0,8,0,4,0,0,13,15,0
A5D7U4,13,7,21,16,22,12,4,11,1,3,42
A5D7V7,2,3,0,10,9,0,8,0,4,0,7
A5D8M6,20,7,9,12,14,6,11,22,28,33,6
A5D8N2,6,7,0,6,12,4,10,9,6,6,8
A5D8S0,72,57,32,74,49,45,87,13,19,72,25
A5D9D4,38,42,59,70,29,27,29,36,12,13,43
A5DID3,13,34,26,64,27,28,15,10,17,47,18
A5DS77,0,0,0,0,0,0,0,3,1,0,0
A5GFW1,44,2,6,89,110,38,42,12,0,17,48
A5PF44,0,0,0,2,0,2,4,1,13,0,5
A5PJ65,409,641,341,799,719,474,562,398,837,646,383
A5PJI7,6,0,0,8,0,0,2,0,9,0,0
A5PJX7,12,133,10,275,93,40,0,0,59,104,58
A5PK39,0,0,0,2,0,0,0,0,0,1,2
A5PK45,63,53,14,102,74,21,42,6,47,40,17
A5PKG7,43,32,13,88,38,26,60,50,53,82,39
A5PKH3,1,3,0,5,0,0,2,0,1,0,1
A5PMU4,84,27,165,195,72,35,12,56,1,6,75
A5PMX1,276,736,253,448,332,220,279,134,230,186,246
A5PMY6,8,11,11,58,28,13,25,5,18,23,10
A5PN43,0,0,0,3,0,0,0,6,0,0,1
A5WUL3,59,51,15,163,112,61,54,37,47,132,64
A5WUT8,0,2,0,7,6,0,2,0,2,10,8
A5WUY6,0,2,0,3,0,1,2,0,0,0,0
A5WW08,2,0,0,14,0,1,8,3,0,0,0
A5WW21,0,0,7,17,0,31,17,0,6,11,0
A5YKK6,128,127,89,300,237,106,128,128,143,305,168
A6BMK7,70,52,0,23,11,0,17,0,0,0,38
A6H584,238,175,124,90,184,85,253,244,188,98,101
A6H5Z3,11,6,4,19,9,7,6,9,6,17,14
A6H603,12,7,3,16,15,4,21,0,8,38,5
A6H694,96,154,54,210,78,67,113,78,25,49,72
A6H6W9,109,205,158,235,177,98,121,137,77,109,111
A6H6X4,8,2,0,11,11,8,6,2,2,0,6
A6H707,0,7,2,12,7,3,11,14,5,24,14
A6H730,282,672,81,39,304,449,18,7,1,32,355
A6H759,0,7,8,6,5,6,0,1,3,0,4
A6H779,168,519,628,293,478,203,0,986,0,0,255
A6H791,51,50,52,89,69,23,90,54,26,27,27
A6H7B8,41,72,80,157,121,96,47,25,58,69,65
A6H7H1,503,597,309,820,632,401,534,247,277,611,353
A6H8H2,1,1,0,0,0,0,2,3,3,0,0
A6H8I0,186,223,111,285,303,152,315,153,75,202,195
A6H8I2,4,7,12,31,15,6,11,4,28,32,14
A6H8T2,224,342,174,252,392,136,344,180,36,238,229
A6H8T7,20,3,8,53,51,21,13,7,4,59,20
A6H8Y1,121,100,39,161,128,59,169,46,55,124,89
A6H8Z2,4,2,5,0,2,0,4,0,0,0,4
A6KWR4,979,1533,903,988,812,557,636,707,221,413,574
A6L2V8,154,233,149,350,196,150,120,98,55,170,123
A6NAF9,286,333,130,363,376,114,212,128,112,364,146
A6NCF5,0,18,10,3,1,0,2,3,0,10,1
A6NCI4,302,642,138,240,291,129,503,258,63,192,189
A6NCS4,435,654,599,787,744,684,1415,1093,1554,839,579
A6NDU8,59,177,43,50,103,52,71,61,26,62,68
A6NE52,88,131,41,156,137,72,171,145,45,90,86
A6NFE3,85,151,16,61,62,37,150,90,25,91,68
A6NFN9,95,101,53,143,155,67,125,72,37,116,69
A6NGN9,0,0,0,0,0,5,0,0,0,0,0
A6NH52,7,3,1,8,9,0,10,4,7,21,3
A6NHM9,8,0,0,12,0,0,0,0,8,25,1
A6NHR9,61,18,15,101,49,17,44,23,13,72,25
A6NHX0,8,2,9,10,1,1,5,0,13,9,3
A6NIH7,258,487,241,554,439,326,649,523,668,572,274
A6NJI9,122,193,183,383,231,167,252,280,166,225,184
A6NK44,98,117,157,125,147,75,90,57,30,163,75
A6NK53,0,0,0,4,4,3,0,2,0,0,6
A6NMZ7,1271,790,293,2721,1089,597,820,186,330,637,688
A6NN90,1,1,4,3,3,0,2,0,3,0,0
A6NNL5,5,7,5,19,17,8,10,1,0,6,9
A6NNW6,7,6,8,8,39,10,8,15,4,11,14
A6PWD2,1,0,0,1,0,0,1,0,2,5,9
A6PWY4,2,0,6,0,0,0,0,0,0,0,0
A6QL50,14,17,11,31,17,8,29,9,9,38,22
A6QL72,11,1,0,35,11,2,4,5,28,32,15
A6QLA0,6,4,1,28,8,0,2,1,9,4,9
A6QLA6,16,23,32,29,7,15,17,44,4,26,10
A6QLE6,64,54,15,80,72,18,64,21,21,70,29
A6QLI0,4523,17919,4225,7088,9066,6092,15670,14482,11864,8002,4539
A6QLJ0,528,512,555,971,841,358,447,478,112,371,499
A6QLK6,70,59,35,218,130,60,63,105,79,158,74
A6QLP7,4850,6181,2498,6030,5580,3132,7050,4061,2914,15030,2185
A6QLT2,432,806,345,883,631,449,430,321,247,498,440
A6QLU6,534,461,271,843,992,352,708,451,237,334,609
A6QLU8,1415,2483,1298,2576,2729,2300,1769,1871,1162,3465,1653
A6QLV3,0,0,0,1,0,0,0,0,0,5,8
A6QLY2,9,13,7,3,14,7,7,0,1,9,2
A6QM06,301,280,149,509,369,140,373,121,110,258,227
A6QNK1,234,197,140,366,298,174,269,159,81,251,170
A6QNR0,232,363,123,544,410,294,272,194,205,475,218
A6QP11,77,66,54,80,55,41,63,61,1,40,52
A6QP29,17,12,2,20,19,6,12,4,4,8,8
A6QPI6,284,522,219,376,301,237,484,271,191,308,257
A6QPM3,408,507,395,644,550,545,474,579,306,433,405
A6QPT7,53,42,17,143,142,79,48,62,90,195,109
A6QQ21,138,182,73,206,192,103,158,115,80,105,88
A6QQ66,46,89,52,83,87,28,61,27,40,14,68
A6QQL0,127,176,50,243,275,148,133,81,70,163,140
A6QQM4,152,137,114,278,291,77,122,114,36,71,132
A6QQR4,0,0,0,1,0,0,0,0,0,17,1
