Entry,pstr_c3,pstr_c5,pstr_c7,pstr_c8,pstr_d3,pstr_d5,pstr_d7
A0A023I4F1,0,0,0,0,0,0,0
A0A075F932,115,449,212,293,353,214,254
A0A0B4J1F4,1941,3247,1348,2242,1566,1731,496
A0A0B6VQ48,0,0,0,0,0,0,0
A0A0G2JUG7,691,1243,579,1325,652,910,343
A0A0G2K047,3589,3105,2313,2795,5151,4753,5413
A0A0G2KIZ8,1,19,10,17,10,4,11
A0A0G2L7I0,69,125,132,141,72,125,37
A0A0R4IBK5,0,1,0,0,0,8,0
A0A0R4IFG5,390,489,327,505,748,761,621
A0A0R4ITC5,18,3,0,3,0,2,0
A0A0R4IVA4,1403,1955,1006,2082,1460,1698,1751
A0A0R4IXF6,4406,4121,2152,4413,1734,3153,1272
A0A140C435,88,51,20,15,68,38,13
A0A166YZY4,2249,2670,1821,2293,2473,1561,1566
A0A173GP47,147,128,59,64,152,88,57
A0A1B7YCL6,0,0,0,17,0,0,0
A0A1D3PCM3,1083,1885,992,1230,1000,1396,911
A0A1D6LAB7,0,0,0,0,0,3,0
A0A1I9LN01,34,116,282,504,9,95,187
A0A1L8GXY4,421,602,480,423,793,903,520
A0A2K3DMP5,0,0,0,12,0,134,0
A0A2P1BRQ0,0,5,0,0,2,7,0
A0A2Z5WA18,0,0,0,0,0,29,0
A0A3Q7HBJ5,0,0,0,0,0,0,0
A0A411L030,364,753,410,361,552,630,179
A0A481NV25,1928,3523,1832,1581,2437,2165,859
A0A4Y1YQ38,0,0,12,0,0,0,0
A0A4Y1YTM1,0,0,5,0,0,0,0
A0A5C1ZXT8,105,17,373,213,274,339,1054
A0A5C2A2T2,1089,477,203,236,108,154,18
A0BD73,0,0,0,0,0,0,0
A0E358,3,0,0,0,1,0,0
A0JC51,57,63,75,95,82,58,15
A0JM08,1912,4078,684,1019,1402,4031,686
A0JM13,14,8,3,0,1,0,0
A0JM24,76,108,36,33,64,99,28
A0JME2,207,362,200,331,346,313,317
A0JMQ0,779,941,414,642,857,736,203
A0JMW6,670,1086,387,648,660,860,309
A0JMY4,552,311,265,320,451,378,583
A0JMY5,407,477,423,505,390,488,758
A0JMZ1,344,373,317,339,371,358,12
A0JN53,1,0,0,2,0,0,0
A0JN95,462,707,496,553,556,656,262
A0JNA3,204,399,226,231,182,150,13
A0JNC0,3326,7493,5031,6170,3950,5859,1262
A0JNH6,54,121,49,45,32,86,19
A0JNI5,2239,1268,357,617,2500,1330,659
A0JP70,218,356,225,357,356,306,93
A0JPI9,551,1022,343,561,572,667,417
A0JPN4,1812,2195,1340,3067,1854,1719,967
A0JPP1,832,1581,789,1281,1018,1257,299
A0JPP8,229,182,112,87,140,134,41
A0JPQ1,330,452,361,738,428,629,385
A0JPQ7,353,617,432,544,230,511,97
A0KN65,0,0,0,0,0,0,0
A0LMC1,1073,1476,1035,2008,719,1171,645
A0M8T5,117,153,89,184,54,90,241
A0MGZ5,236,489,263,400,266,350,179
A0MTA1,199,255,229,251,288,206,114
A0MZ67,1141,1949,1028,1503,1200,1262,550
A0NLY7,1010,4209,1094,1704,1078,1962,879
A0P9L2,158,230,251,451,192,225,113
A0PGB3,0,0,0,0,0,0,0
A0PJX0,3130,3455,1622,2982,2100,3148,1972
A0QV10,34,44,66,51,30,7,14
A0T0C6,0,0,6,12,0,0,0
A0T0T7,650,87,493,698,236,0,0
A1A4J8,443,624,417,281,365,283,344
A1A4R8,129,176,152,194,147,104,12
A1A5F2,455,697,390,332,688,475,495
A1A5Q4,378,387,194,296,394,329,584
A1A5V9,309,203,144,229,236,170,54
A1B2X1,0,0,0,0,0,0,0
A1DWM3,0,16,1,0,2,1,0
A1E295,0,0,0,0,10,0,0
A1KV41,0,0,0,0,0,0,0
A1L0Y2,296,518,305,449,282,307,95
A1L112,239,333,195,237,192,290,159
A1L157,1915,2423,1676,2094,1726,2857,1220
A1L1I3,4574,4639,2760,5958,2229,3010,2060
A1L1W9,12093,5790,5064,8238,4973,4820,4346
A1L209,501,817,366,505,544,605,208
A1L224,69,418,86,336,78,230,58
A1L258,129,126,246,183,117,92,108
A1L2K1,375,580,245,668,485,536,317
A1L2T6,0,18,0,11,7,9,0
A1L3F4,3352,6082,2897,5850,3372,4320,1382
A1L3F5,2991,3140,1941,3524,2324,3345,6139
A1R8N8,2121,5565,679,5131,1894,3375,414
A1RYE4,89,188,119,23,291,279,153
A1VBA6,131,193,103,131,142,116,79
A1VYV7,6,0,5,12,2,0,0
A1WVC4,0,0,0,0,0,0,0
A1XBS5,149,195,87,131,138,148,37
A1XQU3,5,0,3,0,4,0,4
A1Z3X3,886,1393,661,896,908,934,316
A1Z713,5,16,0,0,4,3,0
A1ZAY1,3934,801,887,3014,497,1227,1735
A2A259,118,165,42,99,292,126,278
A2A3K4,311,172,93,211,268,173,120
A2A3L6,455,670,490,759,557,646,940
A2A3V2,68,101,104,92,71,106,17
A2A4P0,13,7,11,6,5,1,18
A2A6A1,476,853,480,832,543,614,182
A2A7Y5,51,110,50,52,94,72,0
A2A825,671,1179,676,777,763,709,123
A2A891,28,6,5,8,10,13,4
A2A8L5,13,17,6,14,23,14,17
A2A9A2,0,2,0,0,1,9,0
A2AAY5,17337,7016,2244,11330,3788,12783,14432
A2AE42,41,195,64,126,76,90,109
A2AG06,1553,2293,1290,1878,1318,1865,1393
A2AJ76,1424,858,1220,989,637,864,188
A2AKK5,0,0,3,15,0,0,4
A2AKX3,522,714,433,622,630,565,309
A2AM29,295,348,240,201,230,243,299
A2AP18,374,669,157,390,285,200,144
A2AR02,975,648,242,350,777,485,208
A2ARS0,259,228,167,291,331,337,576
A2ASS6,166,190,52,133,137,132,55
A2AUM9,9,0,0,3,2,4,0
A2AV36,334,759,270,334,366,377,81
A2AVA0,718,1110,2019,1480,1093,1465,1817
A2AX52,9335,18378,10268,13383,11628,10831,1906
A2BGR3,176,93,60,98,180,98,58
A2BGS3,792,960,803,360,814,789,410
A2BGT0,810,920,289,761,603,432,135
A2BGU9,118,222,153,245,166,193,36
A2CEI4,5,9,1,0,0,7,12
A2QSY5,0,0,0,0,0,2,0
A2QYR9,0,0,0,0,0,0,0
A2RRH5,1390,1066,545,1325,1338,1352,1730
A2RRP1,7,8,21,0,4,0,10
A2RRV3,2159,2462,1145,1843,1737,1807,870
A2RRW4,100,49,3,35,312,10,22
A2RSX4,687,1012,667,1106,881,1164,797
A2RT91,14,3,2,0,3,1,0
A2RTY3,538,266,152,222,491,312,236
A2RU49,619,1297,442,1053,476,686,205
A2RV01,61,110,70,68,60,87,24
A2RV80,154,327,144,134,180,236,70
A2SXS5,1125,1444,1044,1758,961,948,563
A2T779,50,107,42,53,58,50,49
A2TLM1,56,284,95,162,142,162,36
A2VD00,828,1029,707,861,2078,1157,1722
A2VD33,0,0,0,0,0,9,0
A2VD93,329,266,204,201,267,259,123
A2VDD2,1529,1084,949,1543,1316,930,1257
A2VDL6,327,714,278,358,391,431,84
A2VDR8,9,76,4,26,6,74,15
A2VDS1,281,329,173,456,338,462,162
A2VDU3,1277,1745,1190,1897,916,1237,432
A2VDZ3,4800,7255,3127,6276,2851,4358,3802
A2VDZ9,2619,3591,2232,3211,2371,3268,2233
A2VE40,406,423,402,201,301,96,41
A2VE44,170,141,67,30,95,101,45
A2VE52,170,131,34,195,174,202,12
A2VE55,432,417,188,368,425,322,197
A2VE56,4,13,6,0,2,14,1
A2VE79,873,1120,504,1235,519,492,211
A2Y8E0,11,0,3,0,5,0,2
A2ZVI7,0,0,0,0,1,6,8
A3AWA4,0,0,0,0,0,6,0
A3E4D8,67,365,90,222,77,238,32
A3FEM2,7653,9272,5133,8639,5700,9741,9704
A3KFU9,158,322,96,185,220,273,59
A3KG59,545,762,421,705,682,661,354
A3KGZ2,318,275,165,204,455,232,275
A3KMV5,1032,1007,617,794,1157,797,748
A3KMX0,514,363,122,322,617,234,68
A3KN24,46,78,22,83,67,80,15
A3KN46,670,721,472,584,692,476,612
A3KNL6,129,47,35,35,66,68,40
A3KNS2,15,0,14,28,20,10,12
A3KNS9,251,654,211,279,198,374,117
A3KP37,341,423,273,360,363,314,81
A3KP77,313,363,129,244,176,215,80
A3KPP4,84,81,60,53,55,85,9
A3KQS4,1206,1778,741,1566,1168,1140,225
A4D0V7,546,1230,402,735,600,793,240
A4D2P6,555,600,317,637,308,471,401
A4F7P5,482,883,330,1106,429,476,347
A4FU69,3,5,0,0,6,0,5
A4FUB0,2,11,0,0,1,0,0
A4FUB8,881,940,566,981,838,747,431
A4FUP9,458,421,186,398,369,438,153
A4FV72,154,225,158,172,182,138,48
A4FV84,199,406,209,221,210,201,64
A4FVJ7,151,125,44,60,107,128,82
A4GT88,110,3,3,2,11,41,110
A4GTP4,1539,4216,2767,5425,1536,2497,397
A4IDS4,0,0,0,0,0,0,0
A4IF63,1420,4090,1748,2607,2266,1883,573
A4IF97,5666,8428,5720,6388,5726,6446,3197
A4IFD0,83,59,74,26,36,52,33
A4IFD8,5,11,2,6,4,7,2
A4IFE9,1357,2203,1524,2040,1134,1703,561
A4IFH5,622,849,159,287,590,652,119
A4IFM3,0,24,0,0,0,2,0
A4IGL7,4,0,2,16,2,9,32
A4IH36,548,1907,853,1562,628,941,127
A4IH75,145,214,65,174,104,172,93
A4IH82,233,658,406,518,261,374,79
A4IHU6,67,130,35,41,99,59,9
A4IHW3,275,441,186,313,356,513,152
A4II20,4019,1239,732,4214,2049,3760,4415
A4IIC5,0,0,0,0,0,0,0
A4IIM3,20,10,0,0,4,18,0
A4IIZ9,153,344,160,222,211,303,82
A4IJ15,156,263,163,258,303,259,197
A4IJ21,343,257,129,210,315,344,205
A4K526,491,632,342,418,434,448,113
A4L691,784,282,120,449,269,382,246
A4Q9F4,154,198,204,286,228,193,264
A4QN56,26,98,68,25,27,62,16
A4QND5,393,299,232,333,397,357,108
A4QNP7,200,366,143,348,247,246,87
A4R606,0,0,0,0,0,0,0
A4SF77,0,0,0,0,0,0,0
A4T324,15,5,4,0,7,16,0
A4YI89,943,788,778,1057,1839,973,1807
A4Z6H1,349,644,228,70,187,446,26
A4ZNR5,809,2432,966,1941,967,1381,1405
A5A6P2,1402,2392,1372,1104,2257,2319,857
A5A779,103,131,102,122,177,109,91
A5D6U8,5852,8492,4769,9613,6195,7203,9196
A5D6V4,118,192,73,164,100,119,41
A5D794,5,0,0,0,6,3,0
A5D7P8,18,25,25,0,33,34,25
A5D8M6,300,530,317,414,337,424,147
A5D9H7,121,186,56,66,72,127,58
A5DID3,320,436,237,318,323,389,152
A5DW14,0,0,0,0,0,19,0
A5GRU8,0,0,11,19,0,5,0
A5HNF6,66,81,59,79,56,66,12
A5K7J8,0,0,0,0,0,0,0
A5PJ65,909,1748,1011,2034,1195,1577,733
A5PJT0,2,0,0,0,5,0,0
A5PK19,2,2,0,1,6,5,0
A5PK63,0,0,0,0,3,2,0
A5PKF5,0,94,94,146,6,110,32
A5PKG7,373,554,401,302,315,347,131
A5PKJ4,13,4,0,0,2,4,6
A5PN43,656,882,527,843,713,837,647
A5V3X3,0,0,0,0,0,0,0
A5WUL3,727,802,139,129,626,608,72
A6BM06,1,0,28,18,0,4,0
A6BMK7,616,2226,1167,1180,792,1034,149
A6H584,0,24,3,8,0,0,0
A6H5Y3,135,91,264,52,147,24,22
A6H603,558,457,321,624,937,937,527
A6H694,302,240,107,214,359,307,265
A6H6W9,243,258,129,189,199,223,84
A6H751,323,499,192,232,276,279,250
A6H757,272,205,84,214,255,155,26
A6H767,7,4,1,3,1,3,3
A6H779,1103,2156,1024,1576,1176,1559,583
A6H791,85,271,98,112,140,210,29
A6H7B5,394,395,197,230,313,316,199
A6H7C2,998,621,176,450,283,609,295
A6H7G2,2231,1676,1418,2958,498,1148,201
A6H8H2,8,4,0,0,0,3,0
A6H8I0,538,639,284,621,481,502,386
A6H8I2,193,342,167,80,139,226,141
A6H8Y1,537,726,353,436,391,443,140
A6JUQ6,257,401,554,528,276,125,41
A6KWR4,580,1598,1185,1144,878,1420,426
A6LFV1,0,0,0,0,5,2,0
A6MW33,0,0,3,12,1,0,0
A6NAF9,146,133,41,57,92,51,48
A6NCS4,3529,2028,1638,3719,2765,4621,3379
A6NDU8,88,130,96,147,81,89,39
A6NE52,5,12,7,0,7,9,0
A6NFN3,1528,2362,880,1897,1329,1444,622
A6NFN9,436,386,188,427,282,320,252
A6NGN9,46,0,0,0,9,0,0
A6NHR9,4,9,7,3,4,8,0
A6NI56,330,334,182,282,324,317,245
A6NIH7,1614,1434,920,1498,1793,1842,3028
A6NJI9,302,320,246,244,337,323,106
A6NJV1,237,335,268,296,303,325,167
A6NMZ7,1664,1372,53,964,3622,3705,69
A6PWD2,229,404,274,273,340,358,186
A6PWV5,28,29,2,15,5,4,6
A6Q102,0,0,0,0,0,0,3
A6QL50,1119,1354,745,1530,1256,1308,437
A6QLA0,54,41,28,40,45,31,22
A6QLC7,4,0,2,0,1,0,3
A6QLE6,159,551,452,397,472,398,315
A6QLI0,0,0,0,8,11,4,0
A6QLJ0,572,954,257,403,541,636,154
A6QLN9,141,0,262,112,501,369,799
A6QLP7,17753,26451,14114,11586,15948,22435,6735
A6QLU1,991,1325,638,953,659,582,142
A6QLU6,3849,6720,2183,4042,4079,5206,3517
A6QLU8,0,0,0,0,0,0,0
A6QNK1,1,127,17,41,8,46,0
A6QP11,197,376,237,330,201,273,183
A6QP70,2172,3525,2198,3682,2288,2297,949
A6QPM3,3020,3145,1147,3348,2496,4218,2833
A6QQ66,397,546,193,287,369,306,107
A6QQM4,39,53,51,34,27,42,56
A6QQP7,0,19,0,0,2,10,11
A6QQX9,1966,2450,1046,2542,1644,1995,1391
A6QR56,113,280,274,319,199,217,134
A6TFW2,0,0,0,0,1,0,0
A6YG76,0,15,0,10,1,60,0
A7E320,200,104,41,72,350,87,97
A7E3Q8,2390,3758,3409,3048,3115,3323,4635
A7E3W5,2815,3813,2883,4302,2569,2690,682
A7GCK7,1075,867,214,488,1272,846,188
A7H9F3,0,0,0,0,0,3,0
A7HQX9,0,0,0,6,0,0,0
A7LCJ2,0,0,5,14,3,24,21
A7MB10,0,8,0,0,1,1,0
A7MB35,988,2045,1244,1556,1536,1633,558
A7MB63,372,202,282,630,513,472,732
A7MBB8,567,1150,564,984,675,779,456
A7MBF6,351,512,360,562,438,383,238
A7MBH5,396,568,362,515,555,699,805
A7MBJ4,9,18,11,0,11,18,85
A7MBP4,653,1038,555,268,597,833,396
A7MCS3,372,935,532,566,523,808,595
A7RF00,580,949,768,1053,572,677,297
A7RFA1,287,448,438,564,399,385,56
A7RG82,1185,1817,443,483,590,393,136
A7RHG8,503,688,204,301,819,791,1324
A7RIT9,657,1135,668,768,647,1070,195
A7RK30,1215,1804,694,1405,1249,1302,1230
A7RKS5,111224,111964,97523,123976,64115,84363,26619
A7RL75,248,613,371,479,243,515,98
A7RLE5,152,474,278,431,185,338,20
A7RM20,492,642,459,379,449,740,511
A7RM45,955,2467,1746,2697,1643,2044,248
A7RNG8,2081,1222,370,479,1484,1468,754
A7RPT4,298,537,382,798,349,426,214
A7RQM5,191,345,189,371,167,284,117
A7RR04,725,1448,253,765,541,1297,340
A7RR34,514,805,539,491,724,1224,1102
A7RRG3,844,906,517,838,781,694,483
A7RRJ0,0,0,0,0,0,0,0
A7RRZ8,346,456,245,264,342,311,71
A7RSH7,466,695,356,514,488,618,464
A7RT29,206,229,190,140,428,252,157
A7RTB3,433,562,370,518,560,330,109
A7RUD5,474,665,336,322,499,787,258
A7RV13,246,509,159,349,222,320,130
A7RVK7,278,516,379,413,325,482,109
A7RWC9,164,179,88,161,182,116,81
A7RWD2,27873,33054,30158,30455,20474,26052,10119
A7RX26,120,228,98,254,178,178,90
A7RX34,268,323,300,451,219,251,228
A7RX69,334,944,434,530,900,762,1122
A7RZS0,869,1114,522,715,667,721,401
A7RZW4,741,681,335,456,664,856,4041
A7S1A4,60,107,64,70,66,75,108
A7S1L6,307,387,244,567,402,329,198
A7S3J7,45089,56485,54584,48898,34263,46472,14363
A7S4N4,4436,5780,3648,6323,3427,4659,3929
A7S6M8,1106,1265,729,1061,997,942,318
A7S6Y0,775,1067,467,981,757,604,472
A7S8T5,640,506,252,422,724,538,1448
A7SA47,643,725,881,792,662,715,1006
A7SAZ1,34,51,14,13,35,30,29
A7SBN6,155,159,132,107,152,190,72
A7SCH8,289,601,146,260,289,420,92
A7SDW5,517,720,465,373,507,540,272
A7SFB5,2055,2109,690,1727,1640,1790,717
A7SFP1,1807,2418,1610,2171,1654,1740,740
A7SGF0,850,377,244,369,756,347,156
A7SGU3,165,462,254,289,273,315,190
A7SGU6,1212,1639,781,1318,966,1268,256
A7SGZ5,286,297,276,211,426,380,171
A7SK27,943,1294,667,1165,915,1098,845
A7SKE9,689,900,716,1040,710,774,605
A7SKJ3,183,247,153,152,206,235,79
A7SLZ2,605,854,860,1243,512,667,210
A7SM54,340,206,186,246,276,282,276
A7SMR1,1314,1335,696,780,961,988,917
A7SMW7,364,675,455,444,563,512,171
A7SNR3,126,167,66,207,122,158,50
A7SPW6,156,241,166,264,133,166,83
A7SPX9,371,491,303,355,451,548,403
A7STV9,115,120,104,88,127,117,15
A7SUU7,3,21,11,0,3,0,0
A7SVT1,14,12,3,0,3,4,5
A7SWD3,213,597,275,293,263,346,233
A7SWH1,75,102,23,74,35,48,44
A7SXK3,1897,2722,1663,1919,1713,2236,1064
A7SXZ6,12,7,12,0,8,4,2
A7T0W1,319,269,157,244,248,248,56
A7T167,911,1115,764,1068,969,900,677
A7T1N0,185,201,150,163,187,303,188
A7TG43,0,0,0,0,0,0,0
A7TX81,310,259,228,333,307,244,238
A7WM73,0,0,2,23,14,10,12
A7XUJ6,238,239,244,405,205,220,190
A7YSY2,2240,2605,620,1140,2497,2169,568
A7YW81,777,1413,1192,1194,1104,1311,1398
A7YWC8,139,249,117,146,87,113,42
A7YY53,830,846,515,411,349,560,485
A7Z052,387,427,113,310,439,279,57
A7Z061,482,756,561,955,476,539,146
A7Z064,1056,1209,587,959,850,1006,1153
A8AJF8,832,328,2093,736,774,78,24
A8CEP3,669,655,509,643,608,607,315
A8DYE2,4,4,4,0,0,6,10
A8DZE6,590,261,121,306,965,353,75
A8E4L1,564,806,454,769,625,735,311
A8E4S7,75,279,221,265,114,171,62
A8E534,1038,357,152,500,383,771,537
A8E5Y3,138,99,46,68,47,75,28
A8E7G4,163,532,250,309,277,363,46
A8HS48,8,0,0,0,9,0,0
A8HYJ1,1195,2633,412,380,1471,2316,99
A8HYU5,0,0,0,0,0,6,7
A8I1Q0,0,0,6,0,0,0,0
A8I2V9,0,0,0,0,0,14,0
A8IAD8,0,0,0,0,1,25,0
A8ILK1,5,0,0,0,0,0,0
A8IR43,418,138,160,162,141,157,258
A8IW99,43,64,49,110,55,34,7
A8J0J0,0,0,0,0,0,16,0
A8J785,0,0,0,0,0,27,0
A8JF70,1224,891,397,498,971,1173,899
A8KB59,865,981,819,2012,1105,989,387
A8KBE0,1056,1923,1092,1710,1250,1427,404
A8LTG4,0,0,0,0,0,0,0
A8MPX8,123,228,155,190,115,177,131
A8MT70,230,386,122,124,233,307,45
A8MTY0,289,387,616,117,308,599,143
A8MUP2,6,3,20,15,4,3,0
A8MV24,552,1139,661,747,633,909,226
A8MY62,1789,1156,469,921,1275,1543,688
A8NDT2,0,0,0,0,0,0,0
A8NN94,943,658,318,600,983,708,282
A8QMS7,2858,3436,1524,3141,2472,3033,1066
A8SMG2,442,558,311,711,516,815,481
A8TX70,3,0,0,0,12,1,0
A8WG21,2312,1605,555,1784,730,1106,323
A8WG43,1055,2371,605,1399,1062,1842,841
A8WG88,479,829,445,1060,539,503,117
A8WGA0,22,39,1,0,16,14,20
A8WH34,1338,2288,1315,2023,1260,1479,897
A8WIP6,802,928,533,542,812,1278,587
A8WJ42,666,1471,1158,1562,816,957,252
A8X6H1,960,1496,2083,1771,2307,2034,242
A8XYX2,140,188,125,126,163,123,9
A8ZU47,0,0,0,0,0,8,0
A9BDK3,0,0,0,0,0,0,0
A9BJC1,58,49,91,32,32,17,0
A9JRC7,793,1225,421,811,890,1064,596
A9JTG5,2416,2783,1916,3105,1603,2179,452
A9LIW2,516,1378,705,1070,697,806,128
A9S0B8,0,0,0,0,0,0,0
A9SIZ6,0,0,0,0,0,3,0
A9SMC8,0,1,0,0,0,0,0
A9SY65,49,741,374,71,31,595,191
A9UMG5,2629,3181,1348,3040,1193,2807,1004
A9UMP7,204,130,103,140,296,144,16
A9UMS3,550,633,288,1075,496,468,183
A9UQN0,14,27,6,30,13,21,25
A9USH8,0,0,0,0,0,0,0
A9VLC7,0,0,0,7,0,12,0
A9Y006,162,651,349,682,353,452,80
A9ZSY3,650,1141,219,479,902,609,102
B0BLU1,5,7,3,12,6,4,0
B0BLZ5,178,160,196,172,116,110,14
B0BM28,1083,1436,555,687,704,1016,212
B0BM95,73,188,103,161,92,100,22
B0BML1,1162,1212,658,982,863,1226,1582
B0BN95,788,822,592,1323,930,913,1310
B0BNE2,748,902,389,709,525,604,110
B0BNE5,412,794,472,638,670,573,427
B0BNM9,1378,1069,596,1222,1216,1436,1043
B0BZY6,0,0,0,0,0,3,0
B0C431,164,172,108,126,219,184,24
B0CE03,0,0,0,0,0,15,0
B0CQN7,872,643,204,260,671,886,1862
B0CY45,0,0,0,0,2,0,0
B0I1T2,144,270,176,129,327,237,97
B0JZ65,342,372,221,307,432,315,112
B0KWE9,371,515,382,560,380,516,200
B0R1D5,0,2,2,7,1,2,0
B0RS12,233,172,24,188,145,155,19
B0S5D5,180,254,72,179,106,163,101
B0S6T2,857,848,2296,941,719,132,53
B0THN4,0,0,0,0,4,0,4
B0UYI1,5,267,101,58,25,197,24
B0UYT5,247,603,340,477,416,363,172
B0V1P1,105,324,80,164,100,162,64
B0V2N1,1106,943,271,815,1096,743,380
B0VQX5,0,0,0,0,0,0,0
B0VXE6,796,347,161,290,804,333,324
B0VYX9,917,1780,1321,1552,979,1836,758
B0W6M9,6,6,0,0,3,1,2
B0WWP2,245,399,325,498,191,274,121
B1AJZ9,130,129,74,114,133,220,70
B1AKI9,11,23,0,0,12,12,0
B1ANS9,1182,528,369,593,1001,586,669
B1AQJ2,2100,847,465,1656,231,587,181
B1AS42,388,608,357,524,437,337,106
B1AVY7,4,13,9,0,2,10,0
B1AY13,1642,2011,1227,1812,1331,1782,451
B1AZ99,677,1107,503,643,598,662,173
B1H116,514,696,126,334,171,241,50
B1H134,3,3,9,0,0,7,0
B1H1E4,1820,2281,1120,1959,1608,1891,1654
B1H1P9,611,1198,545,824,767,827,139
B1H1X1,109,388,147,216,138,300,46
B1H222,325,539,204,352,294,304,81
B1H283,145,157,68,120,172,154,177
B1H2T2,46,98,65,55,46,75,18
B1N1A3,0,0,0,0,1,4,0
B1VEI4,372,231,115,302,266,203,78
B1WAP7,2366,4036,1804,2641,2707,2418,1006
B1WAR9,5,9,0,1,4,4,0
B1WAZ6,505,1302,571,203,752,541,329
B1WB17,178,317,229,298,161,265,60
B1WBM3,783,1384,1053,1467,783,1126,819
B1WC40,679,1168,516,654,759,814,244
B1WC68,17,78,27,42,81,73,0
B1XHY7,0,0,3,8,0,0,0
B1XJS8,0,0,0,0,0,5,0
B1XK80,0,0,0,0,1,16,0
B1XLF1,0,0,0,0,0,12,0
B2DFG5,264,216,172,262,262,135,67
B2GUN4,802,1013,584,729,427,526,121
B2GUP8,3,0,0,9,0,0,0
B2GUS6,374,573,290,280,418,455,267
B2GUZ1,2032,1829,834,1250,1273,1443,620
B2GV77,189,372,228,265,257,235,37
B2KI97,3087,2788,995,1432,2340,2720,1313
B2LT64,616,824,241,745,428,1779,2285
B2RPY5,11,2,2,0,7,3,17
B2RQL2,4,19,2,18,5,2,0
B2RQR8,1,15,0,0,0,0,13
B2RR83,13,2,0,0,2,0,0
B2RRL2,53,82,69,10,37,46,17
B2RW38,779,842,540,718,770,890,803
B2RX12,2,0,2,0,3,1,9
B2RX14,2161,2512,1229,1996,1462,1797,955
B2RXR6,0,0,0,0,3,0,0
B2RY50,876,938,546,909,1068,1030,872
B2RY56,14,14,151,1112,10,0,187
B2RYG6,0,0,0,0,0,0,0
B2RYN2,684,2030,128,1385,526,1028,138
B2RZC4,56,38,23,12,73,43,0
B2S488,130,296,150,193,148,218,86
B2UH25,0,0,2,6,0,6,0
B2VG45,423,726,482,769,508,501,108
B2XTH7,473,1502,718,676,173,69,5
B3A0Q8,291,0,0,0,7,21,48
B3CLA3,0,0,0,0,0,0,0
B3DK16,392,401,131,345,285,292,1052
B3DL53,35,90,38,51,29,25,0
B3DLH6,1252,2055,1279,1798,1849,1352,229
B3DM66,80,87,38,86,69,47,85
B3EHS7,0,0,0,0,0,3,0
B3EWR1,18,33,40,26,19,43,15
B3EWY6,468,1413,1319,1761,531,1006,1360
B3EWY7,504,2198,675,1816,371,756,33
B3EWY8,124,674,826,1000,424,651,96
B3EWY9,5722,9232,4019,4864,10543,15312,10409
B3EWZ2,193,85,163,105,226,220,1799
B3EWZ3,4089,7417,3402,3908,4876,5785,6375
B3EWZ5,383,1438,1851,1746,895,1000,10183
B3EWZ6,2202,8074,2097,2875,1645,4611,2317
B3EWZ8,679,2157,1295,1680,1060,1158,671
B3EWZ9,5154,8268,6780,6468,11910,10256,10542
B3EX02,903,2,50,143,95,98,38
B3L230,0,8,2,0,2,0,0
B3MRT7,243,294,98,155,196,178,106
B3P1F9,0,0,0,0,0,0,0
B3S3D5,165,385,172,332,198,192,122
B3SBB5,154,333,125,1717,116,133,15
B4DJY2,84,20,10789,7789,26,171,1975
B4DXR9,182,245,98,240,233,259,235
B4E2M5,182,187,65,145,195,118,54
B4G4S8,3057,4322,1479,3130,2202,2833,2347
B4GRJ2,89,14,40,116,60,74,13
B4JG39,0,0,0,0,0,3,0
B4JKB7,319,444,341,606,372,389,211
B4JXG8,0,0,0,63,0,0,0
B4JXX2,88,17,15,31,123,28,61
B4KF66,290,470,258,327,346,332,107
B4KPU0,72,500,336,181,75,259,24
B4LX81,6,4,1,15,1,16,0
B4MR28,0,0,0,7,10,0,0
B4MR74,22,54,45,16,47,53,16
B4MY63,759,1107,431,372,675,1053,633
B4PEU8,59491,64734,40968,46662,39381,53147,13236
B5DDX6,453,541,235,217,410,410,109
B5DEL3,438,726,316,568,455,468,194
B5DF27,1178,1076,719,518,852,1145,202
B5DFG1,3126,2295,1408,2659,1558,2233,1590
B5FAJ7,0,0,0,0,0,0,0
B5FWC0,161,330,126,175,245,272,87
B5FXA0,332,632,213,302,231,274,158
B5FXE5,3421,2785,3385,7553,3672,2782,978
B5FXJ6,2666,1808,994,1573,2636,1818,961
B5FYQ0,3081,2987,1961,3006,2369,2702,1759
B5KFL3,763,959,610,799,826,1048,668
B5L5M7,9,10,11,16,11,21,39
B5LVL2,599,416,385,404,687,944,592
B5ME19,1,5,1,0,0,2,1
B5X186,722,1628,1342,901,1244,1772,877
B5X2B8,69,115,35,112,96,88,49
B5X4E0,502,307,145,288,463,283,98
B5X4H8,151,139,115,52,89,111,74
B5X582,318,234,597,224,293,52,39
B5X5D0,753,796,453,600,746,1446,760
B5X8M4,247,388,171,63,131,349,120
B5XB24,549,852,399,554,720,616,259
B5XCB8,6,34,0,19,6,17,0
B5Y1L0,209,147,120,141,57,194,20
B6CHA3,971,2066,806,1468,973,3462,140
B6CJY4,241,529,322,313,286,318,199
B6ELU0,192,495,139,291,199,283,140
B6IPN3,1417,605,792,1040,1379,925,898
B6IU98,0,0,0,0,0,0,0
B6NXD5,802,1184,1026,1191,576,946,182
B6RSP1,243,431,272,196,178,337,170
B6ZLK2,2408,2336,821,1555,1836,1868,1803
B7F845,0,0,0,0,2,0,0
B7GMM1,11,13,0,109,6,5,0
B7JWT6,0,0,0,0,1,7,0
