Entry,pstr_c3,pstr_c5,pstr_c7,pstr_c8,pstr_d3,pstr_d5,pstr_d7
Q0IH87,11804,1269,1741,10477,4055,8305,2124
Q0IHA2,199,355,138,318,251,228,52
Q0IHF9,1141,1350,962,1024,710,1122,1118
Q0IHQ9,9,50,15,22,12,16,0
Q0II68,367,366,436,359,372,440,300
Q0II91,410,519,326,566,334,362,788
Q0IID7,3646,2570,2103,3923,1620,2300,2772
Q0IID9,570,1276,684,758,845,1648,454
Q0III3,707,1216,1116,1435,895,789,569
Q0IQJ7,0,0,0,0,0,10,0
Q0ITS8,0,0,0,0,0,0,0
Q0IUB5,0,0,0,0,1,0,0
Q0IZQ3,0,0,0,0,0,4,0
Q0JB88,0,0,0,0,0,0,0
Q0JG75,0,0,0,0,0,15,9
Q0JGY1,0,0,0,0,0,0,0
Q0JI49,0,0,0,0,0,0,17
Q0JJS8,0,0,0,8,1,0,0
Q0JKM9,0,0,0,0,0,21,4
Q0JNL7,84,34,32,80,119,24,57
Q0JRZ9,71,26,8,51,12,25,26
Q0KHQ5,743,873,520,418,478,528,730
Q0KIA2,196,285,248,367,190,341,110
Q0KK59,8,29,17,22,20,21,5
Q0KL02,5309,5842,2249,4646,3656,4439,4642
Q0MQE9,444,790,782,928,622,606,324
Q0MQI6,0,0,0,8,0,0,0
Q0MQI7,1089,1095,805,652,841,815,376
Q0P3J1,0,27,0,10,24,249,0
Q0P457,306,226,135,580,404,432,161
Q0P487,0,0,12,22,4,0,0
Q0P4F7,527,582,237,544,549,455,85
Q0P4H0,134,145,31,124,75,173,31
Q0P4M4,1392,1165,282,563,1138,1104,1488
Q0P4P2,30,3,242,163,220,110,1089
Q0P4V4,600,411,229,285,360,544,273
Q0P594,3942,4913,3341,4735,3702,4232,3057
Q0P595,536,868,392,659,506,636,346
Q0P5A2,383,400,198,148,492,368,100
Q0P5A6,326,595,337,468,199,356,172
Q0P5B2,296,478,339,451,417,495,122
Q0P5B7,32,92,103,112,104,63,11
Q0P5B9,277,515,163,564,245,568,83
Q0P5G1,137,313,169,308,260,314,71
Q0P5L5,395,562,313,536,418,338,82
Q0P5N6,314,330,188,256,233,297,74
