Entry,cnat_c2,cnat_c3,cnat_c4,cnat_c6,cnat_c8,cnat_d2,cnat_d3,cnat_d4,cnat_d6,cnat_d8
A0A067XMP1,2,381,412,0,0,0,357,270,0,0
A0A075F932,190,173,162,41,12,21,179,49,0,15
A0A097ZPE0,0,0,0,0,0,0,0,0,0,0
A0A0A2JW91,326,5,25,17,5,886,10,34,22,0
A0A0B4J1F4,1082,306,1029,218,119,939,394,818,170,214
A0A0B6VQ48,121,51,220,77,64,190,118,339,56,240
A0A0C3VJP4,0,1,4,1,0,0,1,0,10,0
A0A0D3QS97,83,92,154,12,0,733,168,426,43,6
A0A0E4AZP0,67,0,2,5,0,230,3,2,0,0
A0A0G2JXT6,462,143,234,177,372,570,347,472,88,479
A0A0G2K047,1172,1548,944,222,523,3401,1952,1116,987,894
A0A0G2K2P5,132,18,73,22,20,190,15,98,34,1
A0A0G2K344,185,8,74,26,17,290,29,77,20,3
A0A0G2L7I0,245,104,130,197,132,120,141,99,24,205
A0A0H2VDN9,0,25,19,0,0,0,24,22,0,0
A0A0K3AV08,0,0,2,0,0,0,0,0,0,0
A0A0K3AWM6,175,27,23,24,82,180,35,31,83,28
A0A0P6JG37,442,291,264,166,128,722,271,717,57,72
A0A0R4I9Y1,521,194,658,8,13,194,362,289,28,6
A0A0R4IBK5,1031,75,436,117,27,651,211,257,50,0
A0A0R4IF99,749,316,204,302,334,984,564,591,150,769
A0A0R4IFG5,530,330,294,142,123,629,498,610,68,198
A0A0R4IKJ1,0,32,34,0,0,0,14,12,0,0
A0A0R4ITC5,537,202,254,172,72,495,292,342,52,148
A0A126GUP6,0,0,0,0,0,0,0,0,0,0
A0A162J3X8,0,0,0,0,0,0,0,0,0,0
A0A166YZY4,633,572,585,348,508,387,948,639,106,499
A0A166YZY9,411,141,69,133,286,435,262,97,274,664
A0A1B4XBG9,0,63,78,0,0,0,75,40,0,0
A0A1B8YAB1,18,3,10,8,21,24,4,7,0,5
A0A1D3PCM3,577,405,662,147,247,1028,305,971,164,210
A0A1D5P556,670,118,355,63,111,745,228,343,117,19
A0A1D6IEG9,0,55,18,0,0,0,29,16,0,0
A0A1I8M2I8,20,0,0,9,64,14,0,1,17,41
A0A1L8EV45,1050,125,610,97,106,1449,290,830,141,38
A0A1L8GXY4,631,278,302,231,159,505,662,634,50,280
A0A1P8B554,0,0,0,0,0,0,0,0,0,0
A0A1U8QTJ9,0,0,0,3,0,0,0,0,0,0
A0A2D0TC04,155,107,159,125,144,26,13,9,11,85
A0A2G5I8W0,1,86,131,0,0,0,70,63,0,0
A0A2H5AIX5,333,180,635,263,212,417,175,600,43,383
A0A2K3DMP5,4,63,1,0,96,0,19,34,0,0
A0A2R8Q1W5,52,29,26,13,7,19,5,12,0,1
A0A2U8QPE6,0,0,0,0,0,0,0,0,0,0
A0A2Z5WA18,0,0,0,0,0,0,0,0,0,0
A0A383ZFX3,9,1498,1200,0,0,0,1096,829,0,0
A0A384XR80,47,5,39,14,12,11,10,36,7,2
A0A386CAB9,185,28,0,65,3,163,35,0,5,11
A0A3G1DIQ9,0,0,0,0,0,0,0,0,0,0
A0A3G1DJF3,0,0,4,1,0,0,0,0,16,0
A0A3G9HPE6,0,0,0,3,0,0,0,0,0,0
A0A411L030,1353,1304,912,296,1077,1976,3653,2981,91,3013
A0A482NAR8,0,97,144,0,0,0,110,103,0,0
A0A4Y1YQ38,6,2300,1834,0,1,0,2328,1524,7,0
A0A5C1ZW08,0,31,29,0,0,0,11,2,0,0
A0A5C1ZXT8,23,339,6,5,10,45,15,2,0,34
A0AUS0,174,176,220,91,175,168,121,157,27,138
A0B8A1,0,24,16,0,0,0,11,0,0,0
A0BLX0,0,0,0,1,0,0,0,0,0,0
A0BZ55,0,0,3,4,0,0,0,0,0,2
A0CCD2,2,214,387,0,0,0,193,220,0,0
A0CDD4,0,142,233,1,0,0,169,138,0,0
A0DSB3,0,0,0,1,0,0,0,0,0,0
A0FGR8,1848,2779,5024,249,157,1006,2163,2017,28,112
A0FGR9,3,393,481,0,1,0,370,297,0,0
A0FI79,213,223,446,99,71,333,220,282,21,141
A0FKN6,6,0,0,0,1,10,0,0,0,4
A0JC51,108,46,50,54,25,27,12,6,8,30
A0JLY1,0,0,0,8,0,0,0,0,23,0
A0JM13,64,20,24,6,0,36,25,9,0,0
A0JM23,4,446,496,0,0,0,353,370,0,0
A0JM24,83,35,67,29,39,34,18,43,0,6
A0JM51,9,1193,1053,0,0,1,1115,719,0,0
A0JM56,21,10,34,4,0,29,25,16,0,1
A0JMD2,0,8,16,0,0,0,6,4,0,0
A0JMH2,522,428,451,301,81,178,350,141,11,157
A0JMP0,63,137,184,66,87,43,40,32,0,77
A0JMQ0,622,194,166,243,185,341,261,251,62,356
A0JMQ9,89,35,82,31,29,80,53,52,0,13
A0JMT0,84,246,642,17,146,8,286,472,0,21
A0JMW6,937,376,479,237,367,1501,531,811,126,620
A0JMY4,416,314,255,238,116,423,480,501,43,170
A0JMY5,152,210,105,98,83,173,254,180,31,98
A0JMZ3,159,41,19,65,55,65,17,4,7,24
A0JN53,290,128,177,110,117,426,233,311,60,151
A0JN80,30,139,77,20,41,22,133,54,0,47
A0JNA8,9,550,705,5,0,0,476,459,7,0
A0JNC0,2023,808,1633,358,362,2340,918,1417,269,171
A0JNC2,259,28,161,23,40,428,90,228,42,17
A0JNJ1,104,59,74,85,38,85,105,120,12,23
A0JNJ3,941,283,292,231,228,736,393,774,156,450
A0JP70,138,47,80,54,18,41,63,38,18,20
A0JPE9,783,130,1140,169,95,655,239,506,63,90
A0JPH3,16,12,11,1,1,15,9,15,0,2
A0JPI9,1300,396,2658,327,384,1536,882,1806,307,1504
A0JPP8,98,65,53,101,42,53,52,28,34,63
A0K4C9,0,3,8,0,0,0,6,6,0,0
A0K4Q2,0,0,0,0,0,0,0,0,0,0
A0KMI5,4,407,389,0,0,0,405,264,0,0
A0L4B2,0,0,0,0,0,0,0,0,0,0
A0LI67,0,170,183,0,0,0,153,102,0,0
A0LMC1,1146,612,715,255,367,4336,675,2470,287,1420
A0LYD2,0,46,35,0,0,0,67,19,0,0
A0M8T3,0,125,137,0,0,0,98,88,0,0
A0MGZ5,137,70,95,24,38,167,88,92,6,22
A0MQH0,95,11,47,7,0,48,19,47,0,5
A0MSJ1,0,0,0,0,0,0,0,0,0,0
A0MTA1,144,162,83,58,113,71,109,37,5,256
A0MZ66,168,10,52,36,2,139,5,30,23,2
A0MZ67,59,1,50,19,0,51,34,26,0,0
A0NLY7,456,340,614,93,130,180,288,334,69,105
A0P9L2,148,167,167,52,77,126,175,165,34,141
A0PGB3,0,0,0,3,0,0,0,0,37,0
A0PJE2,181,155,1355,17,76,171,228,1384,21,490
A0PJN4,322,374,825,130,99,799,618,841,154,214
A0PJX2,268,188,263,158,83,167,131,99,12,32
A0PK00,38,46,60,20,7,79,47,106,13,10
A0Q1R3,0,94,84,0,0,0,78,58,0,0
A0QKY9,0,0,0,1,0,0,0,0,18,0
A0QV10,333,141,219,96,16,322,125,268,68,63
A0QZA1,1802,1574,1610,540,806,2320,2548,2434,432,1179
A0R566,0,240,750,0,0,0,445,613,7,0
A0RZC6,3691,607,1608,1025,442,3447,2492,2798,288,273
A0ZSK4,0,0,33,8,0,10,0,39,0,0
A1A4J8,258,86,181,31,55,545,232,531,48,106
A1A4K8,889,503,571,317,377,1067,834,974,235,602
A1A4L0,0,0,0,0,0,0,0,0,0,0
A1A4M4,0,0,0,0,0,0,0,0,0,0
A1A5F2,749,399,551,499,257,953,578,900,124,315
A1A5G0,8470,3864,4733,4346,2123,4677,3130,1813,241,2097
A1A5R8,13,27,14,15,10,2,29,21,8,22
A1A5X5,0,0,0,0,0,0,0,0,0,0
A1A5Y5,73,22,64,39,8,96,39,67,0,3
A1A619,241,280,242,92,226,236,198,180,38,224
A1AT85,1,574,495,1,0,0,427,350,16,0
A1AW44,0,8,41,0,0,0,15,21,0,0
A1CL82,0,0,0,0,0,0,0,0,0,0
A1CME3,0,0,0,0,0,0,0,0,0,0
A1CRV0,3,196,187,10,0,0,196,136,31,2
A1D9Z6,132,5,47,4,0,52,16,15,0,0
A1DE13,0,9,9,0,0,0,9,12,0,0
A1DHY9,0,0,0,2,0,0,0,0,63,0
A1DJS5,0,0,0,0,0,0,0,0,0,0
A1DWM3,229,43,157,33,54,164,50,92,0,6
A1E295,8468,6339,3423,2125,4025,12056,10514,16919,5720,5917
A1E2I4,0,11,20,0,0,0,5,18,0,0
A1JK30,550,710,346,201,339,312,1304,272,214,481
A1KZ92,325,158,138,63,119,614,453,220,32,133
A1L0T3,0,0,0,0,0,0,0,0,0,0
A1L0Y2,442,218,243,201,298,402,280,245,79,276
A1L112,142,118,192,38,62,183,224,174,0,61
A1L157,503,270,292,143,335,503,160,301,269,321
A1L1I3,444,26,271,30,155,651,97,446,197,10
A1L1P7,0,159,158,0,0,0,160,116,0,0
A1L1P9,252,352,481,47,14,202,378,862,0,10
A1L1V4,194,221,169,111,110,326,90,28,9,145
A1L1W9,3155,2248,2145,915,2684,5608,2528,7307,964,5434
A1L209,658,326,370,348,201,337,367,335,20,237
A1L224,64,83,115,36,17,36,40,43,4,33
A1L2F3,77,37,106,34,28,23,67,19,0,61
A1L2K1,110,79,151,11,44,193,114,416,17,31
A1L3F4,1283,761,1134,657,420,2579,2189,1566,429,2406
A1L3F5,2224,468,970,451,289,5327,1885,2178,474,335
A1R8N8,1239,437,1418,149,46,569,541,574,0,8
A1RY08,1,36,59,0,0,0,42,36,0,0
A1RYE4,11,47,47,1,0,1,58,65,0,0
A1STS0,0,55,19,0,1,0,33,18,0,0
A1T726,0,7,13,0,0,0,10,3,0,0
A1TZP7,4,54,54,0,0,0,58,36,0,0
A1VBA6,52,38,35,31,19,69,38,60,11,41
A1X159,0,108,215,0,0,0,121,155,0,0
A1X283,561,188,379,230,88,502,306,284,39,118
A1XQU3,0,0,0,0,0,0,0,23,0,0
A1Z198,123,51,233,14,26,87,52,137,0,0
A1Z6M6,0,0,0,0,0,0,0,0,0,0
A1Z713,0,130,161,0,0,0,128,130,0,0
A1Z7A6,0,0,0,0,0,0,0,0,2,0
A1Z897,1,241,260,0,0,0,218,200,0,0
A1ZAB5,4,11,2,2,2,25,36,31,0,67
A1ZAY1,1243,490,199,530,463,5202,1082,682,578,3397
A1ZBD6,53,28,79,14,0,31,44,98,0,2
A2A259,161,52,318,11,10,208,48,418,27,0
A2A3K4,211,23,105,16,0,449,50,186,43,3
A2A3L6,413,231,329,83,87,445,410,433,24,92
A2A690,0,1,7,0,0,0,3,0,0,0
A2A6A1,364,225,200,208,274,378,283,266,49,346
A2A8L5,72,7,97,9,13,54,100,123,0,0
A2A9C3,19,14,23,5,7,15,14,19,0,0
A2AAE1,109,12,53,5,8,125,19,95,10,0
A2AAY5,384,132,317,42,40,8248,849,1244,319,340
A2ABV5,594,254,383,194,136,582,330,424,79,297
A2AJ76,3500,796,1275,1404,1043,4294,1025,1745,527,1117
A2AJ77,8,2,7,1,0,7,0,3,0,0
A2AN08,64,6,48,7,0,73,17,31,0,0
A2AP18,78,20,182,4,13,49,74,421,15,0
A2ARA8,3,383,551,0,0,0,368,349,0,3
A2ARS0,264,215,165,45,38,284,339,443,14,89
A2ASQ1,606,123,131,106,90,276,161,250,36,15
A2ASS6,122,95,379,18,10,163,127,387,16,2
A2AT37,1757,883,1005,607,469,1389,1173,974,181,944
A2AVA0,1502,1187,2191,493,386,1279,1812,1593,190,320
A2AX52,401,63,384,95,0,665,133,393,51,77
A2BE76,0,0,0,0,0,0,0,0,0,0
A2BFC9,27,14,13,7,24,49,17,55,0,6
A2BGT0,48,14,32,12,2,57,17,34,0,6
A2BGU9,139,61,85,43,87,154,88,152,14,80
A2BHJ4,0,87,42,0,0,0,71,54,0,0
A2BIL7,24,14,29,4,9,7,33,4,0,0
A2CG63,826,91,229,296,49,844,224,239,34,21
A2CI34,605,170,253,243,273,186,122,59,33,169
A2I8Z7,8,15,15,4,0,9,28,23,0,17
A2ICR5,0,0,0,0,0,0,0,0,0,0
A2PYH4,313,192,248,195,175,480,603,249,82,425
A2Q1V6,0,0,0,0,0,0,0,0,0,0
A2Q7T1,0,0,0,0,0,0,0,0,0,0
A2Q8F7,0,0,0,0,0,0,0,0,0,0
A2Q9L0,0,301,270,0,0,0,268,202,0,0
A2RRH5,3,1,0,1,0,0,0,0,0,0
A2RRP1,12,2,28,0,0,21,17,24,0,0
A2RRV3,1987,735,835,612,769,2736,1329,1876,498,1398
A2RSJ4,0,6,12,0,0,0,10,8,0,0
A2RSX4,677,562,384,129,239,524,995,1129,22,366
A2RSX7,142,95,93,115,64,216,114,70,18,107
A2RT67,490,251,290,473,92,180,160,205,11,59
A2RT91,166,103,133,34,26,165,178,138,0,37
A2RTY3,107,81,76,38,21,105,112,113,18,34
A2RUS2,10,2,21,4,4,9,12,18,0,0
A2RV80,341,66,149,89,31,201,57,97,9,10
A2SWM2,449,355,1438,85,150,1379,638,6959,191,801
A2T779,192,24,56,90,9,14,42,23,0,29
A2TLM1,224,60,78,105,31,46,58,51,0,56
A2VD00,1189,1064,824,249,286,1396,1019,577,158,739
A2VD33,0,0,0,0,0,0,0,0,0,4
A2VD92,85,17,59,20,7,127,36,93,0,7
A2VD93,231,88,165,84,129,377,193,167,69,206
A2VDC2,124,139,79,75,77,92,138,84,8,75
A2VDD2,430,667,452,125,318,374,656,583,30,323
A2VDL6,0,0,0,0,0,0,0,2,0,0
A2VDR8,77,71,130,39,10,103,101,170,6,26
A2VDT1,0,0,0,0,0,0,0,0,0,0
A2VDU3,896,218,712,136,158,1184,312,1377,110,73
A2VE44,630,81,496,69,62,573,154,507,82,13
A2VE52,61,48,37,31,27,39,39,35,17,4
A2VE55,220,289,276,64,78,251,269,208,72,166
A2VE56,220,28,141,40,3,175,53,121,0,1
A2VE79,204,109,203,11,61,536,566,978,97,104
A2WY46,0,8,29,2,0,0,4,13,0,1
A2XGQ1,0,0,0,1,0,0,0,0,0,0
A2XQE8,0,0,0,0,0,0,1,30,0,0
A2Y3Q5,0,0,0,0,1,0,0,2,0,0
A2YZ24,0,0,0,0,0,0,0,0,0,0
A2Z928,0,1,0,0,6,0,0,0,0,0
A3AWA4,11,1044,1532,0,0,0,1040,946,2,0
A3AYR1,0,191,204,0,0,0,168,153,0,0
A3BF39,0,1145,1150,0,14,0,1102,839,5,0
A3DC22,0,0,1,4,0,0,0,0,19,1
A3E4D8,68,27,20,38,51,28,10,3,0,19
A3KFU9,0,0,0,0,0,0,0,0,0,0
A3KG59,918,413,409,209,215,1089,809,956,104,411
A3KGS3,0,0,0,0,0,0,0,0,0,0
A3KGZ2,67,26,33,13,0,74,55,35,0,18
A3KMP2,138,107,66,85,65,382,386,802,18,277
A3KMV5,926,129,377,187,66,2515,375,978,181,33
A3KMY4,0,168,274,0,0,0,126,153,0,0
A3KN83,0,0,0,0,0,0,0,0,0,0
A3KN95,18,40,6,1,6,1496,2549,1033,264,46
A3KP59,0,26,20,0,0,0,21,11,0,0
A3KP77,117,245,230,32,80,146,369,327,32,145
A3KPA3,0,0,0,0,0,0,0,0,0,0
A3KPP4,48,16,31,4,6,31,18,24,0,4
A3KPW7,186,77,66,62,38,123,62,53,14,55
A3KQV2,175,48,98,65,7,128,117,97,4,42
A3QJU3,0,0,0,0,0,0,0,0,0,0
A3RK75,167,17,6,8,0,728,32,229,23,373
A4D263,344,166,157,90,195,490,422,275,31,318
A4F7P5,161,70,183,58,30,187,116,67,129,142
A4FUB8,454,308,481,155,100,762,493,665,74,185
A4FUH5,75,76,56,5,42,43,77,99,12,42
A4FUI1,50,4,24,28,10,39,3,51,0,20
A4FUP9,298,102,104,84,17,396,289,445,0,95
A4FUZ6,0,0,0,0,0,0,0,0,0,0
A4FV72,138,131,109,44,110,122,166,221,23,95
A4FV84,169,101,60,78,117,171,100,140,16,125
A4FV98,0,0,0,0,0,0,0,0,0,0
A4G5V4,93,423,173,24,0,53,299,136,0,35
A4GTP4,2732,528,1370,756,516,1145,531,304,165,551
A4IF63,1359,1427,876,693,910,345,1111,136,26,470
A4IF69,139,111,125,36,12,79,124,132,13,53
A4IF97,102,29,133,35,71,123,45,153,31,32
A4IFB6,216,126,121,90,59,187,134,119,15,141
A4IFE9,559,114,352,104,71,889,237,372,77,74
A4IFH4,57,76,36,35,27,32,27,20,0,21
A4IFH5,155,90,59,77,67,34,40,10,0,37
A4IFM3,556,93,147,348,368,127,61,82,35,255
A4IFW2,1167,79,744,45,2,1640,142,463,69,12
A4IG32,0,0,0,0,0,0,0,0,0,0
A4IG53,2,134,83,0,0,0,101,76,0,0
A4IGH2,100,122,152,31,34,44,129,113,0,52
A4IGM4,33,46,92,22,12,3,21,23,0,0
A4IGU3,0,65,82,0,0,0,107,63,0,0
A4IH24,6,6,18,0,0,0,12,1,0,0
A4IH75,81,57,59,33,33,162,93,74,42,74
A4IHR1,0,0,0,0,0,0,0,0,0,0
A4IHU6,41,17,29,15,22,34,16,20,5,33
A4IHW3,538,282,346,134,41,335,585,855,20,82
A4IIF2,34,8,161,2,0,39,1,3,0,0
A4III8,307,333,199,130,172,509,654,425,105,290
A4IIJ3,163,32,74,20,19,217,31,93,17,1
A4IJ06,1455,282,256,715,375,2702,949,828,675,1419
A4IJ15,104,152,174,63,78,296,172,238,75,88
A4IJ21,486,252,330,198,181,395,470,494,91,167
A4IJZ2,0,1,0,9,0,0,0,0,14,0
A4L691,219,105,166,120,284,291,176,299,118,124
A4L9J0,44,151,5,12,23,59,12,85,0,24
A4PES0,2,397,420,0,0,0,399,314,0,0
A4Q9E4,0,0,0,0,0,0,0,0,0,0
A4Q9E5,638,200,292,229,306,551,510,517,227,302
A4Q9F0,111,49,70,59,16,48,75,32,0,0
A4QNP7,77,119,104,41,60,65,87,62,5,130
A4QNR8,2081,846,1822,692,40,1588,1238,868,9,48
A4QPH2,111,44,31,58,21,89,36,24,17,42
A4RDD7,0,0,0,0,0,0,0,0,0,0
A4SM99,8,104,66,0,0,0,68,65,0,0
A4T324,445,54,292,38,12,365,98,186,30,9
A4TE41,0,27,10,0,0,0,27,16,0,0
A4UTP7,227,32,190,14,26,492,57,342,42,14
A4VWG9,0,0,0,0,0,0,0,0,0,0
A4YEN4,1017,251,161,1105,290,462,268,193,49,356
A4YGN0,0,0,0,0,0,0,0,0,0,0
A4YI89,465,268,135,153,58,23,17,9,0,24
A4Z6H1,410,334,752,176,221,534,693,1351,79,346
A4ZNR5,122,39,161,26,26,302,109,286,24,10
A5A4K9,211,98,300,47,8,670,512,219,86,59
A5A6K7,356,135,356,47,19,1093,196,673,115,17
A5ABG0,0,0,0,0,0,0,0,0,0,0
A5B4K1,0,0,0,0,0,0,1,174,22,0
A5D6U8,5524,1808,3672,1272,760,10694,2561,8645,907,1166
A5D7A0,0,0,0,0,0,0,0,0,0,0
A5D7E2,1112,175,476,271,148,1338,321,846,116,102
A5D7V7,126,120,113,64,52,134,95,101,8,69
A5D9H7,518,257,463,139,207,783,330,477,99,109
A5D9W7,0,0,0,0,0,0,0,0,0,0
A5DID3,77,68,70,17,35,133,69,107,25,23
A5DIR3,0,0,0,0,0,0,0,0,0,0
A5DQN2,5,43,63,0,0,0,38,33,0,0
A5E572,0,0,0,0,0,0,0,0,0,0
A5EHE7,0,0,0,1,0,0,0,0,0,0
A5FZ18,0,0,1,0,0,0,0,0,0,0
A5GLB0,0,0,0,0,0,0,0,0,0,0
A5JYS0,0,0,0,1,0,0,0,0,0,0
A5PJ65,359,84,297,60,37,695,148,656,48,94
A5PJT0,71,1,0,2,0,7,0,2,0,0
A5PJU6,2,12,14,0,0,3,20,9,0,0
A5PK19,232,393,471,99,105,267,465,325,67,136
A5PK40,0,0,0,0,0,0,0,0,10,0
A5PKF5,90,52,189,26,4,81,88,187,0,5
A5PKG7,704,232,413,163,246,908,328,460,163,345
A5PKH3,476,657,483,206,219,346,1109,950,96,227
A5PKJ4,47,0,22,5,0,80,27,92,31,0
A5PLL7,268,191,403,42,97,387,251,370,30,132
A5PN52,94,64,68,40,63,119,36,58,39,62
A5UF67,3,181,212,0,0,0,136,150,0,0
A5WUL3,345,160,444,91,157,553,301,665,102,547
A5WUT8,0,0,0,0,0,0,0,2,0,0
A5WVX9,33,6,38,4,3,55,7,32,0,0
A5WW08,0,0,0,4,0,0,0,0,0,0
A5WW21,12,2,19,0,0,113,5,13,0,0
A6BM06,0,0,0,41,0,0,0,0,116,2
A6BMK7,970,297,328,259,342,463,128,579,64,598
A6H584,2,0,1,0,0,0,0,0,0,0
A6H5Z3,81,18,112,11,0,117,38,64,0,0
A6H603,54,12,27,4,0,144,31,126,17,0
A6H639,0,29,23,0,0,0,33,16,0,0
A6H694,507,232,280,141,187,668,684,563,82,293
A6H6W9,360,154,210,154,95,493,239,265,40,112
A6H6X4,153,235,194,36,136,61,153,72,33,64
A6H751,22,1,18,5,10,14,5,9,0,0
A6H757,357,153,125,164,83,438,144,220,25,139
A6H791,47,57,55,14,24,41,83,86,9,36
A6H7B8,135,49,48,21,5,115,44,85,4,6
A6H7F7,0,0,0,0,0,0,0,0,0,0
A6H7H7,24,2,21,2,16,42,6,22,0,4
A6H8I2,643,168,761,116,61,879,250,458,56,13
A6H8T2,368,185,337,92,137,177,199,342,22,96
A6H8Y1,255,311,231,148,153,316,351,308,42,182
A6KWR4,383,396,346,157,219,284,308,297,52,305
A6LLP5,42,36,40,14,6,75,34,60,24,2
A6MW33,3,701,734,0,0,0,904,542,0,0
A6N7Y9,491,43,307,67,28,365,110,344,15,4
A6NAF9,308,105,212,80,40,192,188,175,5,10
A6NCI4,29,10,34,12,0,28,12,20,14,0
A6NCS4,1193,1133,510,273,745,5228,2763,2378,1694,1732
A6NDY0,0,108,64,0,1,0,75,76,1,17
A6NE52,10,2,10,3,0,8,6,16,0,0
A6NGN9,0,0,40,0,0,3,3,52,0,0
A6NI28,0,0,0,0,0,0,0,0,0,0
A6NI56,422,104,179,127,20,295,133,241,3,16
A6NIH7,872,593,568,315,543,4205,1935,2348,856,1364
A6NJI9,333,187,213,138,101,282,212,302,14,127
A6NMZ7,1310,478,981,420,278,129,615,166,7,31
A6NNX1,2,128,150,0,10,0,89,86,0,0
A6Q0K5,1,14,0,1,11,0,0,1,0,0
A6Q5K5,0,0,0,7,0,0,0,0,41,0
A6QL50,471,138,277,139,121,558,216,338,52,94
A6QL72,165,23,135,32,20,417,65,162,22,9
A6QLA0,160,20,71,18,0,167,40,68,23,3
A6QLE5,0,0,0,0,0,0,0,0,0,0
A6QLE6,554,197,339,160,58,407,225,193,35,80
A6QLJ0,456,331,381,158,189,340,542,613,29,129
A6QLP7,5686,6315,4874,2801,4344,6076,6673,5501,2302,2434
A6QLT2,187,49,59,61,13,198,64,68,31,44
A6QLU6,1435,1202,1022,651,264,555,1173,494,54,409
A6QP05,0,0,0,0,0,0,0,0,0,0
A6QP70,687,192,558,221,117,801,250,418,57,163
A6QPE7,1,49,32,0,0,0,36,25,0,0
A6QPF8,49,13,30,8,0,47,10,48,0,0
A6QPI6,903,463,484,285,503,1034,458,615,300,873
A6QPM3,273,23,169,119,22,13,38,37,0,6
A6QQ21,603,357,306,155,260,1531,426,491,132,407
A6QQ66,123,36,97,32,5,103,34,70,16,17
A6QQ68,127,236,69,80,159,52,439,99,4,163
A6QQ71,1105,625,494,894,582,670,492,481,114,816
A6QQL0,158,30,139,23,7,214,90,235,5,9
A6QQM4,143,86,189,26,13,359,118,341,28,21
A6QQP7,0,2,4,1,0,2,4,4,0,0
A6QQU6,0,1,0,3,0,0,0,0,7,0
A6QQX9,916,437,822,320,199,1664,698,1004,197,495
A6QR11,9,8,78,0,0,1,3,1,0,0
A6QR56,591,202,225,142,141,303,269,228,28,195
A6SFW7,0,66,105,0,0,0,40,55,0,0
A6TSF6,269,6,12,71,67,85,4,7,0,60
A6UDC0,0,16,0,0,6,0,24,0,0,46
A6UVT6,0,1,0,0,3,0,1,1,0,0
A6UYW3,0,123,108,0,0,0,96,74,0,3
A6X919,434,193,104,137,203,264,258,181,49,171
A6YG69,9,1351,1484,0,0,1,2004,1006,12,0
A6YG76,2,0,0,0,60,2,0,1,0,0
A6YP92,50,13,14,11,3,68,23,6,10,24
A7A179,1,247,268,0,0,0,233,180,0,0
A7DZP8,471,326,418,152,106,275,291,378,34,172
A7E2S9,0,53,46,0,0,0,46,38,0,0
A7E305,23,4,19,5,0,36,18,9,0,11
A7E3W2,0,0,0,0,0,0,0,0,0,0
A7E3W5,1969,983,1326,388,484,1699,1313,1679,158,663
A7GCK7,271,164,147,186,73,162,211,155,12,68
A7IH94,385,233,323,183,252,451,352,341,109,243
A7KAK6,0,169,157,1,0,0,141,78,4,1
A7LXU0,0,0,0,0,0,0,0,0,12,0
A7MAZ4,262,84,108,85,135,499,149,122,164,282
A7MB11,150,178,85,66,61,130,163,126,0,103
A7MB35,1194,994,918,483,510,1025,927,786,139,719
A7MB54,11,23,14,6,28,9,5,19,0,9
A7MB73,0,112,102,0,0,0,97,42,0,0
A7MBB8,248,185,172,107,51,663,311,322,96,159
A7MBF6,218,204,208,95,146,196,237,185,74,187
A7MBH5,522,243,343,126,203,643,551,742,119,151
A7MBI7,4,190,187,0,0,0,136,133,0,0
A7MBJ4,109,4,131,10,0,135,52,123,0,0
A7MBL8,154,33,132,16,16,316,76,154,41,0
A7MBP4,750,720,652,244,355,936,1099,1104,119,604
A7MCS3,1104,244,533,430,185,2166,326,795,250,510
A7MF59,2828,18832,4255,529,5148,1874,7421,5860,112,5582
A7MLL8,0,0,0,10,0,0,0,0,29,4
A7NR38,112,36,36,65,76,96,35,25,20,60
A7PZL3,5,20,40,2,0,12,15,23,0,0
A7RFA1,294,332,251,61,65,145,269,349,23,62
A7RFT2,74,13,20,17,0,162,16,103,9,72
A7RG82,430,150,433,127,97,539,158,609,57,313
A7RHG8,264,259,283,142,331,333,478,540,117,434
A7RIT9,416,383,498,178,191,854,452,402,115,230
A7RK30,381,220,233,81,58,301,268,331,57,88
A7RKS5,16163,19968,11942,11618,44323,16112,25215,13260,18253,30998
A7RL75,203,255,290,34,73,212,364,460,46,55
A7RLE5,309,116,180,122,200,173,80,116,10,80
A7RM20,577,251,299,122,325,1196,401,682,186,486
A7RNG8,495,477,443,231,238,667,553,689,81,243
A7RP64,242,202,241,64,89,209,386,738,19,267
A7RPT4,247,151,170,101,95,419,163,343,80,190
A7RQM5,253,111,129,89,130,340,175,195,45,186
A7RR04,429,352,311,146,137,745,580,603,51,467
A7RR34,215,108,155,37,103,297,231,401,29,86
A7RRG3,569,338,794,168,73,959,512,705,17,115
A7RRJ0,75,35,67,27,3,17,9,9,0,5
A7RRZ8,162,72,44,71,210,211,100,54,70,289
A7RSH7,1246,615,474,372,372,2386,1304,1750,445,1428
A7RTB3,272,319,459,84,225,232,332,489,93,262
A7RU46,2373,628,1081,778,566,2082,1019,1114,364,796
A7RUD5,161,79,115,48,16,301,122,288,16,54
A7RV13,135,75,157,23,84,296,219,327,27,97
A7RVK7,127,132,124,32,46,168,156,315,29,25
A7RWC9,72,147,136,32,43,108,124,189,10,64
A7RWD2,544,207,212,277,163,285,264,221,11,190
A7RWP6,121,38,71,7,31,232,73,149,47,18
A7RX26,186,94,130,66,30,139,77,183,0,68
A7RX34,154,108,90,48,34,208,77,158,12,61
A7RX69,514,492,454,224,82,1552,625,860,116,351
A7RZS0,220,91,84,78,56,215,98,120,37,110
A7RZW4,392,276,210,155,176,301,615,503,9,269
A7S1H9,200,401,272,119,140,194,330,262,22,160
A7S1L6,211,106,187,78,105,435,154,296,104,239
A7S2N8,5,0,3,0,0,8,3,1,0,0
A7S338,451,169,455,125,144,797,269,429,73,71
A7S3I2,1,145,134,0,0,0,147,84,0,0
