Entry,cnat_c2,cnat_c3,cnat_c4,cnat_c6,cnat_c8,cnat_d2,cnat_d3,cnat_d4,cnat_d6,cnat_d8
Q66HG5,437,140,696,38,29,564,285,906,64,17
Q66HV4,1185,346,688,286,250,2239,668,1360,187,130
Q66I21,587,114,212,137,179,1045,444,500,143,72
Q66I24,2804,361,392,483,485,3707,390,446,660,320
Q66IB8,163,118,119,52,93,122,132,127,29,108
Q66IC8,237,128,129,148,256,164,99,57,16,85
Q66II3,0,0,0,0,0,0,0,0,0,0
Q66II8,2759,2206,1507,2303,772,2593,2447,1778,274,1927
Q66IL0,162,126,123,84,32,140,152,159,47,131
Q66IM5,167,262,168,94,189,273,420,560,6,330
Q66IQ6,31,47,55,21,17,121,83,81,0,13
Q66IS8,71,66,76,25,21,63,72,75,7,45
Q66IV5,122,40,79,46,15,88,17,132,13,16
Q66IZ5,19,3,19,2,9,26,14,29,0,0
Q66J85,623,179,229,277,309,635,201,250,123,263
Q66JA6,722,303,450,193,152,644,277,417,29,125
Q66JE4,691,359,382,192,215,564,548,423,56,517
Q66JF3,764,260,700,156,132,760,1110,1797,178,71
Q66JJ0,2164,1235,2127,661,910,3470,1469,2168,631,2175
Q66JZ4,84,51,104,16,14,132,79,280,35,3
Q66K08,126,69,117,53,17,80,48,13,0,0
Q66KC4,888,708,1605,317,348,731,917,1970,80,388
Q66KI6,4321,1643,1749,2178,1701,5465,2649,3485,1078,2751
Q66KL0,2593,9840,1982,904,2307,3008,7965,2986,1071,1151
Q66KL7,0,0,0,0,0,0,0,0,0,0
Q66L33,175,147,118,123,174,532,214,266,74,135
Q66LN0,246,103,343,92,137,331,146,486,115,458
Q66PG1,465,145,164,153,42,780,340,360,33,62
Q66PY1,2,114,194,2,0,0,65,128,14,2
Q66S03,84,51,60,14,109,42,19,20,0,105
Q672J9,189,28,69,46,0,1014,82,342,52,11
Q67E01,288,260,330,187,131,157,202,125,14,133
Q67ER4,136,101,120,57,97,175,121,141,18,115
Q67FQ3,140,104,233,45,68,148,68,110,38,240
Q67IX6,0,4,1,0,0,0,0,5,0,0
Q67UU0,0,0,0,0,0,0,0,1,0,0
Q67UX0,0,0,0,1,0,0,0,0,0,0
Q67W65,0,140,141,0,0,0,140,116,0,0
Q67Y99,304,29,0,132,337,178,5,10,85,235
Q67YC9,0,0,0,0,0,0,0,0,3,0
Q67ZM4,0,0,0,0,0,0,0,8,0,0
Q680A5,106,113,65,32,8,181,132,118,0,49
Q680I5,78,23,43,22,0,17,18,60,0,8
Q680K8,0,178,188,0,0,0,201,172,0,0
Q680Q4,0,0,0,0,0,0,0,0,0,0
Q681N2,0,2,8,0,0,0,6,6,0,0
