Entry,past_c1,past_c5,past_c6,past_c7,past_d1,past_d2,past_d3,past_d4,past_d5,past_d6,past_d7
A0NLY7,8,1,1,0,0,10,7,2,5,0,0
A0PGB3,2116,522,977,156,1971,1539,572,604,422,811,216
A0PJE2,1,84,125,14,0,0,89,91,43,105,31
A0PJX2,1,0,10,0,10,3,1,0,0,0,0
A0PQ21,331,136,112,21,256,317,108,101,112,36,29
A0QG83,58,20,17,13,53,52,31,18,42,5,15
A0QNZ7,86,35,30,0,118,71,37,68,10,95,17
A0QP18,603,160,334,34,706,650,258,336,163,262,46
A0QSH4,18,8,16,0,12,20,3,6,4,5,2
A0QV09,23,12,3,0,13,12,0,0,3,0,7
A0R0B0,204,73,159,16,240,236,92,88,70,74,16
A0R1E8,296,80,125,22,206,264,82,134,73,71,14
A0R1T4,0,0,0,0,0,0,0,0,0,0,0
A0R5E1,136,49,76,7,179,115,64,67,16,23,7
A0T0B7,0,0,0,0,0,0,0,0,0,0,0
A0T0C6,1365,363,913,139,1241,1042,465,698,223,665,144
A0T0C9,0,0,0,0,0,0,0,0,0,0,0
A0T0F1,0,0,0,0,0,0,0,0,0,0,0
A0T0L9,0,0,0,0,0,0,0,0,0,0,0
A0T0M8,6,8,13,1,5,9,6,10,2,0,0
A0T0M9,0,0,0,0,0,0,0,0,0,0,0
A0T0T0,284,130,81,20,5161,246,57,116,47,3625,20
A0T0T6,0,4,0,0,17,3,0,0,0,4,0
A0T0T7,15,2,0,0,157,6,0,0,3,42,0
A0ZT93,72,19,63,6,77,54,47,47,24,4,11
A1A442,77,7,31,5,56,38,24,15,11,28,3
A1A4L5,3,5,18,0,8,12,2,12,4,0,1
A1A4P5,98,27,78,10,119,63,63,43,40,40,36
A1A5X2,181,63,91,17,99,106,62,35,52,5,8
A1A6H3,42,2,27,4,15,38,20,11,13,6,2
A1AK41,0,0,0,0,0,0,0,0,0,0,0
A1AN64,56,25,19,5,94,35,9,17,3,7,0
A1APP9,2,0,7,0,2,0,0,0,2,0,6
A1AW44,11,8,18,1,24,50,8,7,16,8,1
A1AXZ2,15,3,27,0,17,11,5,8,3,5,1
A1B072,237,39,70,17,181,208,74,86,40,146,19
A1B0G1,39,17,27,0,34,90,25,28,32,21,16
A1BIY4,0,0,0,0,1,2,3,0,2,0,0
A1C4A5,8,2,0,0,4,0,3,1,2,0,0
A1CBC9,45,10,37,4,36,43,10,16,27,8,2
A1CLZ5,262,70,200,20,212,185,132,86,100,15,9
A1CRM1,70,21,24,13,71,61,44,31,12,2,0
A1CRV0,123,21,34,10,172,129,52,49,48,60,2
A1CUK5,20,8,2,0,21,19,7,17,2,0,0
A1D6V7,83,31,24,7,76,80,17,13,24,11,0
A1DHY9,143,24,74,11,66,71,26,70,15,40,22
A1DMA5,79,18,27,3,127,55,20,22,11,37,1
A1DNL0,88,74,54,15,113,121,37,89,28,58,20
A1DP85,269,90,128,2,310,185,87,98,52,66,11
A1E295,717,95,196,33,786,693,206,281,115,194,56
A1JHN0,45,16,19,2,35,58,12,27,12,5,0
A1JLS2,43,31,21,1,94,66,29,19,2,50,0
A1JPB6,13,4,0,0,16,23,4,6,2,5,0
A1K3Y6,25,7,20,5,29,9,9,12,20,0,7
A1K5J4,43,3,17,2,60,26,30,13,11,39,0
A1K7B5,0,0,0,0,0,0,0,0,0,0,0
A1KQG0,117,38,51,23,146,122,42,54,57,20,7
A1L1P9,140,70,106,13,112,155,63,34,77,8,26
A1L3X0,124,62,38,12,88,123,70,69,34,16,23
A1L4W5,225,56,111,21,196,254,60,86,77,47,27
A1L4X0,2,0,14,0,3,0,0,0,2,0,1
A1L4Y1,37,12,6,0,24,21,8,9,13,0,4
A1L504,17,2,15,5,24,26,1,7,14,0,5
A1R728,0,0,0,0,0,0,0,0,0,0,0
A1RYE4,197,85,130,12,176,192,85,53,59,76,12
A1S1Z8,118,57,26,12,98,106,63,32,61,18,26
A1S788,0,0,0,0,0,3,0,0,3,0,2
A1SU11,105,27,81,9,65,85,46,36,52,40,20
A1SWB8,49,27,19,1,33,20,15,30,27,5,2
A1T787,4,0,7,0,9,11,2,7,3,0,6
A1TTW5,0,0,0,0,0,0,0,0,0,0,0
A1U5D9,0,0,0,0,0,0,0,0,0,0,0
A1VC40,38,9,10,4,15,13,6,4,1,0,5
A1VMG1,0,0,0,0,0,0,0,0,0,0,0
A1VYV7,9,1,1,13,0,11,4,1,0,28,0
A1WX30,56,9,59,8,83,53,45,36,32,13,12
A1XQR9,0,0,0,0,0,0,0,0,0,0,0
A1Z877,41,11,24,2,62,38,31,39,5,29,3
A1Z8J0,57,37,19,8,45,52,35,26,24,12,9
A1Z9G2,443,125,233,28,303,388,221,104,125,78,46
A1ZAJ2,53,24,15,0,55,57,36,14,21,4,0
A2A5R2,87,27,48,0,109,99,28,36,18,4,5
A2AGA4,25,0,4,2,5,14,8,0,1,0,0
A2AJ15,3,0,0,0,4,2,4,0,0,0,0
A2APC3,119,44,127,24,92,111,34,71,73,45,12
A2ASI5,116,23,47,5,83,137,29,23,20,41,6
A2ASS6,196,27,104,14,113,133,38,38,78,45,11
A2AVA0,0,16,47,6,4,0,22,4,39,0,5
A2AWA9,0,0,0,0,0,0,3,0,3,0,0
A2BFC9,6,0,0,0,5,1,8,0,2,2,0
A2CI46,3,0,0,0,0,0,0,4,1,1,1
A2Q848,0,0,2,0,2,0,0,5,0,0,0
A2Q8F7,0,0,0,0,0,0,3,0,2,0,0
A2QUY7,376,86,135,23,210,258,87,113,106,51,33
A2RAR6,111,61,116,13,73,149,55,37,44,14,11
A2RRV9,90,35,49,9,73,94,42,27,40,18,7
A2RSX7,1,3,3,5,2,4,0,0,3,0,3
A2RUV9,64,21,42,4,112,84,36,30,15,15,1
A2RV18,54,14,16,16,55,45,26,13,10,1,1
A2RVM0,238,77,132,25,300,221,80,49,52,124,20
A2RVS4,36,18,34,0,29,23,7,8,18,2,4
