Entry,past_c1,past_c5,past_c6,past_c7,past_d1,past_d2,past_d3,past_d4,past_d5,past_d6,past_d7
P11503,160,83,124,7,149,223,151,167,53,181,11
P11598,0,0,0,0,0,0,0,0,0,0,0
P11620,0,6,0,0,0,12,2,10,0,0,0
P11730,0,0,2,0,0,0,0,0,0,0,0
P11832,9,0,2,0,9,1,5,0,0,0,0
P11883,159,75,87,9,89,116,74,37,24,50,11
P11977,122,27,23,14,162,82,45,42,13,67,6
P12078,0,0,0,0,0,0,0,0,0,0,0
P12256,28,13,5,0,37,26,17,8,4,40,0
P12261,123,19,40,1,86,79,31,17,17,48,8
P12311,26,0,4,1,14,15,4,2,3,0,0
P12368,0,0,0,0,0,0,0,0,0,0,0
P12369,0,0,0,0,0,0,0,0,0,0,0
P12370,0,0,0,0,0,0,0,0,0,0,0
P12412,0,0,0,0,0,0,0,0,0,0,0
P12543,985,165,521,31,701,630,310,276,189,468,47
P12677,3,0,0,0,1,4,0,0,0,0,0
P12719,0,0,0,0,0,0,0,0,0,0,0
P12759,167,69,124,13,143,147,57,38,63,16,9
P12863,0,0,0,0,0,0,0,0,0,0,0
P13009,105,15,43,1,88,107,24,18,13,35,1
P13060,50,0,61,0,61,40,42,37,42,20,0
P13234,8,0,31,0,13,9,5,0,5,16,1
P13249,23,2,17,1,24,18,7,12,4,8,0
P13280,16,3,11,0,7,8,1,0,7,0,6
P13466,8,3,0,0,8,0,0,0,0,0,0
P13496,49,25,36,13,42,74,41,48,38,16,10
P13667,0,0,0,0,0,0,0,0,0,0,0
P13681,14,0,3,1,7,9,8,6,16,7,4
P13686,686,213,282,40,695,697,255,255,199,154,35
P13723,44,13,11,0,65,27,12,19,21,13,1
P13860,377,67,221,37,566,446,131,134,98,202,40
P13868,122,50,113,14,122,100,49,34,39,103,42
P13952,60,21,36,1,65,63,31,18,20,4,0
P13982,3,0,2,1,2,4,2,0,0,0,0
P14002,450,226,232,73,519,359,270,259,183,131,57
P14065,19,5,3,0,17,15,7,6,4,0,0
P14070,1257,659,667,95,1800,1322,703,820,239,1092,130
P14088,0,0,0,0,0,0,0,0,0,0,0
P14091,93,37,50,2,64,135,37,62,58,31,11
P14100,668,265,380,78,696,601,229,284,229,145,64
P14207,9,8,11,3,2,5,5,4,4,0,0
P14223,693,155,428,32,770,558,276,292,92,503,58
P14285,292,93,139,20,412,396,135,185,60,171,23
P14314,105,21,21,9,79,143,24,25,29,5,5
P14315,73,16,7,6,55,66,24,6,29,16,4
P14318,0,0,0,0,0,0,0,0,0,0,0
P14533,20,20,9,10,18,28,19,8,37,6,14
P14540,0,0,0,0,0,0,0,0,0,0,0
P14584,0,0,0,0,0,0,0,0,0,0,0
P14634,0,0,0,0,0,0,0,0,0,0,0
P14642,0,0,5,4,0,0,0,0,0,0,0
P14680,34,16,19,1,69,29,25,24,10,15,1
P14686,123,62,69,14,226,112,49,59,26,18,12
P14735,483,154,213,37,514,515,216,108,171,119,66
P14749,17,0,10,0,10,12,5,1,5,4,0
P14772,0,0,0,0,0,0,4,0,1,0,0
P14795,0,0,0,0,0,0,0,0,0,0,0
P14804,244,107,84,26,330,186,126,82,91,65,9
P14813,0,0,0,0,0,1,0,0,0,0,0
P14832,0,0,0,0,0,0,0,0,0,0,0
P14853,123,76,70,15,170,57,32,100,143,274,10
P14909,52,44,40,24,53,57,10,19,21,2,41
P14920,30,6,23,1,22,15,9,4,12,1,9
P15206,41,1,13,0,21,15,3,6,5,0,0
P15345,88,31,21,21,112,105,31,59,16,76,2
P15348,0,0,0,0,0,0,0,0,0,0,0
P15381,133,50,81,16,173,121,66,54,29,62,12
P15389,360,86,168,26,247,214,101,0,72,48,21
P15390,323,82,175,36,197,254,107,79,109,32,42
P15395,183,105,57,9,344,136,93,79,29,106,7
P15436,0,0,0,0,0,0,0,0,0,0,0
P15446,71,31,35,11,48,81,19,9,21,0,8
P15454,0,0,0,0,0,0,0,0,0,0,0
P15479,553,161,242,29,655,478,255,151,133,251,25
P15533,83,19,26,7,49,45,33,24,32,7,16
P15555,242,58,144,27,319,217,100,106,46,73,14
P15567,288,143,159,17,586,325,137,138,59,209,12
P15575,24,0,3,6,7,24,17,11,0,5,0
P15623,96,15,168,0,168,158,47,25,19,33,7
P15704,174,92,69,21,201,205,39,44,71,74,11
P15705,276,131,93,20,266,237,123,117,58,50,15
P15735,89,16,34,4,75,111,49,41,58,18,14
P15828,0,0,0,0,0,0,0,0,0,0,0
P15847,37,11,3,12,40,57,16,7,29,0,10
P15848,418,128,239,12,373,348,145,162,89,60,24
P15918,220,59,80,31,125,153,68,61,72,61,37
P16081,52,1,1,0,59,33,23,0,1,19,0
P16100,563,153,242,15,471,411,203,152,100,119,25
P16120,36,14,3,0,41,20,9,7,15,7,0
P16152,17,24,9,10,57,54,17,16,11,6,10
P16157,1053,485,667,100,832,944,460,470,378,245,132
P16171,21,3,0,1,15,13,7,0,5,0,6
P16228,99,39,60,3,119,116,65,39,41,7,14
P16243,65,15,39,0,37,48,27,26,9,15,13
P16273,130,49,141,19,91,194,79,81,104,18,14
P16283,0,0,0,0,0,0,0,0,0,0,0
P16340,0,0,0,0,0,0,1,0,0,0,0
P16423,0,0,0,0,0,0,0,0,0,0,0
P16482,42,29,65,6,43,41,37,22,28,10,10
P16521,0,0,0,0,0,0,0,0,0,0,0
P16543,80,20,91,1,68,64,18,69,45,17,22
P16581,12,0,5,0,17,9,12,0,10,6,2
P16617,0,0,0,0,0,0,0,0,0,0,0
P16675,0,0,0,0,0,0,0,0,0,0,0
P16858,35,3,17,2,10,14,3,3,5,7,2
P16905,161,60,147,20,117,195,63,79,60,39,22
P16914,0,0,0,0,1,0,0,0,0,0,0
P16924,5,0,0,0,3,3,2,0,0,0,0
P17094,0,0,0,0,0,0,0,0,0,0,0
P17183,442,139,138,48,482,433,183,124,91,151,20
P17213,48,36,31,12,92,45,14,54,44,23,6
P17220,0,0,0,0,0,0,0,0,0,0,0
P17221,5,0,0,4,5,3,2,0,1,0,0
P17279,0,0,0,0,0,0,0,0,0,0,0
P17326,59,18,26,10,91,37,34,8,13,12,0
P17431,187,29,82,16,156,102,45,48,56,50,7
P17439,89,23,80,0,81,73,17,50,28,51,4
P17444,0,0,0,0,0,0,0,0,0,0,0
P17608,51,28,13,4,52,88,36,54,20,10,2
P17620,44,20,64,4,68,87,34,12,60,7,3
P17659,44,16,23,3,22,33,13,7,14,0,9
P17778,3,0,0,0,0,0,0,0,0,0,0
P17844,0,0,0,0,0,0,0,0,0,0,0
P17859,576,189,320,36,675,409,235,275,159,235,19
P17945,22,8,30,6,5,9,5,1,12,5,0
P17967,0,0,0,0,0,0,0,0,0,0,0
P17970,7,10,0,2,5,17,3,0,5,4,4
P17989,0,0,0,0,0,0,0,0,0,0,0
P18101,0,0,0,0,0,0,0,0,0,0,0
P18203,43,22,19,12,27,55,12,17,17,11,21
P18242,75,45,42,1,76,102,73,55,23,14,5
P18266,101,29,62,3,40,91,36,31,29,14,10
P18294,580,167,323,86,559,609,218,257,161,138,45
P18297,9,4,14,1,1,11,0,0,0,3,0
P18334,0,3,0,0,8,0,0,0,0,0,0
P18420,0,0,0,0,0,0,0,0,0,0,0
P18493,0,0,0,0,0,0,0,0,0,0,0
P18606,35,38,8,4,30,68,30,17,28,0,2
P18700,0,0,0,0,0,0,0,0,0,0,0
P18754,44,11,36,6,45,64,30,11,18,6,3
P18773,310,109,116,13,222,280,74,90,84,44,54
P18780,213,62,146,26,265,217,94,111,39,84,25
P18956,0,0,0,0,0,0,0,0,0,0,0
P19024,28,9,19,2,16,22,9,4,9,6,5
P19092,0,0,0,0,0,0,0,0,0,0,0
P19483,492,100,229,27,374,340,162,138,152,96,33
P19485,2124,752,1151,217,1856,1804,964,893,788,272,113
P19515,50,3,26,5,18,27,22,2,14,3,4
P19543,0,0,0,0,0,0,0,0,0,0,0
P19584,10,2,0,7,6,16,0,0,6,4,0
P19683,49,6,11,0,12,40,5,5,11,0,0
P19824,0,0,0,0,1,2,0,0,0,0,0
P19848,794,190,529,93,854,662,331,363,162,479,74
P20014,331,87,138,16,444,296,109,123,27,205,15
P20029,0,0,0,0,0,0,0,0,0,0,0
P20070,433,57,59,2,466,374,77,137,16,100,8
P20093,0,0,4,0,0,0,0,0,0,0,0
P20142,213,96,86,33,199,253,100,118,114,31,21
P20192,28,9,43,2,26,34,27,15,16,8,3
P20365,37,17,21,6,62,15,17,17,2,0,0
P20449,81,19,37,14,106,96,45,58,39,8,9
P20503,89,18,32,9,50,72,20,18,17,91,9
P20595,114,64,60,17,123,71,48,55,38,41,4
P20654,9,1,0,0,4,12,0,0,0,0,0
P20664,0,0,0,0,0,0,0,0,0,0,0
P20753,69,13,46,3,30,42,23,3,10,7,10
P20772,670,418,361,74,972,703,305,320,250,200,25
P20793,181,59,52,15,214,147,68,46,52,40,8
P20807,85,34,35,12,52,83,34,41,12,6,13
P20901,3,23,54,6,0,3,26,26,59,10,10
P20902,2,13,15,4,1,0,21,18,19,0,0
P20904,0,0,0,0,0,0,0,0,0,0,0
P21137,63,22,25,15,43,59,18,22,16,8,5
P21187,42,6,31,6,28,34,3,18,5,19,0
P21195,0,0,0,0,0,0,0,0,0,0,0
P21251,141,45,62,35,89,136,35,34,68,7,6
P21271,29,12,20,1,32,27,12,1,7,0,3
P21334,59,32,48,5,82,82,25,38,42,31,3
P21343,122,58,59,14,82,103,36,24,31,23,1
P21369,265,89,116,28,179,240,86,65,90,77,39
P21439,302,81,202,24,351,222,104,112,58,160,16
P21447,237,17,113,7,238,166,81,65,51,120,3
P21448,269,88,145,18,367,209,96,118,61,73,7
P21449,199,12,61,2,175,138,55,46,21,53,0
P21507,22,11,7,2,10,11,5,0,6,5,0
P21524,61,10,11,0,93,45,34,7,14,34,0
P21529,0,0,0,0,1,0,0,0,0,0,0
P21567,150,83,58,12,145,160,55,49,40,70,22
P21568,0,0,0,0,0,0,0,0,0,11,0
P21616,74,42,26,1,80,93,35,62,9,18,2
P21653,0,0,0,0,0,0,0,0,0,0,0
P21775,0,0,0,0,0,0,0,0,0,0,0
P21829,33,6,11,0,14,18,1,10,12,5,3
P21856,171,45,94,9,199,155,62,60,16,109,24
P21913,561,103,267,17,505,380,171,157,80,144,39
P21964,38,15,51,2,34,42,17,36,19,16,15
P22002,207,102,138,26,222,268,141,144,127,91,29
P22042,0,0,0,0,0,0,0,0,0,0,0
P22045,366,111,168,32,342,255,127,108,130,128,44
P22061,32,0,40,3,30,24,0,1,1,9,0
P22105,75,31,68,13,116,97,70,37,50,30,18
P22131,5528,1680,2600,351,6064,4421,2088,2934,785,2494,371
P22152,418,28,88,9,523,331,42,180,21,58,8
P22177,133,21,49,4,114,85,70,111,47,47,25
P22274,144,64,131,12,92,102,43,95,32,81,3
P22316,241,74,157,31,216,251,86,61,72,69,31
P22462,222,85,109,9,238,243,81,71,54,104,20
P22505,0,0,0,0,3,0,2,0,1,0,0
P22512,207,79,86,5,234,194,112,99,0,85,19
P22513,3444,1038,1813,268,4107,3101,1281,2004,645,1524,363
P22515,142,54,62,3,114,163,27,39,87,21,12
P22518,35,12,6,0,24,39,19,6,18,0,3
P22543,60,23,21,4,68,48,11,30,18,7,6
P22630,369,138,169,22,452,241,109,190,129,87,21
P22696,282,105,189,34,266,293,129,139,113,60,65
P22734,85,11,31,18,49,28,16,17,4,28,22
P22771,5,5,9,0,5,26,3,9,6,0,0
P22817,0,0,10,0,0,3,0,0,0,0,3
P22852,0,0,0,0,0,0,0,0,0,0,0
P22893,0,0,1,0,0,2,0,0,0,0,0
P22944,81,25,34,17,151,109,43,40,24,59,15
P22983,0,0,0,0,0,0,0,0,0,0,0
P23034,57,21,28,0,42,34,22,24,18,16,2
P23098,388,18,18,0,422,262,24,107,20,18,0
P23109,0,0,0,0,0,0,0,2,0,8,0
P23111,172,29,59,16,145,110,36,24,41,14,7
P23193,18,14,46,0,16,59,17,12,15,0,1
P23231,23,7,20,5,21,18,4,8,12,0,4
P23249,0,0,0,0,0,0,0,0,0,0,0
P23286,312,80,193,20,236,232,83,65,116,43,76
P23312,0,0,0,0,0,0,0,0,0,0,0
P23321,0,0,0,0,0,0,0,0,0,0,0
P23324,26,11,26,2,37,44,15,0,11,44,0
P23348,3,6,5,0,9,3,2,5,0,0,1
P23381,180,28,57,11,153,115,60,59,25,20,11
P23398,73,13,51,3,112,43,22,51,14,17,0
P23403,1121,381,875,72,850,895,491,910,236,713,101
P23414,83,13,26,0,17,33,21,23,14,0,0
P23415,78,12,37,4,78,65,30,21,19,3,8
P23416,44,10,26,8,15,32,19,20,17,26,4
P23506,32,12,0,7,29,18,14,17,10,13,3
P23516,147,70,53,7,122,184,61,64,84,29,22
P23538,0,0,0,0,0,0,0,0,0,0,0
P23548,61,19,12,2,51,55,15,7,23,22,3
P23566,0,0,4,0,0,1,0,0,0,0,0
P23586,156,67,54,33,133,204,137,70,113,32,5
P23594,161,36,75,4,147,123,41,70,34,31,12
P23641,65,33,43,12,92,103,19,55,24,27,3
P23678,43,13,47,5,51,30,32,13,16,2,2
P23777,0,0,0,0,0,0,0,0,0,0,0
P23787,218,46,142,12,122,135,72,87,59,76,36
P23795,125,85,110,16,109,159,36,33,58,68,13
P23799,14,3,5,0,9,4,2,7,1,0,0
P23800,17,10,0,11,11,23,4,5,11,2,3
P23880,63,5,46,14,72,49,11,29,20,36,3
P23903,22,4,15,3,17,12,0,0,7,0,0
P23921,126,35,62,0,132,75,41,29,16,93,5
P23965,57,14,53,17,35,57,22,21,43,17,3
P23968,0,0,0,0,2,1,0,0,0,0,0
P23974,42,20,4,1,35,30,9,17,6,0,3
P24008,32,7,42,3,36,16,16,6,6,0,0
P24044,265,99,123,35,248,238,118,84,92,38,40
P24049,1,3,2,0,0,1,0,3,0,0,0
P24155,1,0,0,6,6,8,0,0,0,0,0
P24203,31,15,6,0,18,19,6,7,12,5,2
P24390,0,0,0,0,0,1,0,0,0,0,0
P24423,0,0,0,0,0,0,0,0,0,0,0
P24555,0,0,0,0,0,0,0,0,0,0,0
P24581,11,10,0,1,6,15,4,8,3,0,6
P24601,88,11,48,0,140,92,36,23,25,23,8
P24634,0,0,0,0,0,0,0,0,0,0,3
P24656,40,24,40,21,48,73,40,28,18,7,3
P24724,6,2,32,2,13,10,14,4,3,6,5
P24752,40,2,8,0,32,32,14,22,12,0,0
P24902,21,1,0,1,15,27,5,8,4,7,0
P25070,137,54,97,17,114,132,79,38,44,64,16
P25071,457,262,422,49,552,531,357,315,260,151,111
P25153,24,9,28,9,28,58,8,21,13,9,2
P25161,171,45,123,6,120,189,64,51,38,55,9
P25170,11,6,1,0,16,17,6,6,4,0,0
P25303,142,55,88,2,185,128,49,51,33,25,7
P25323,853,330,583,118,727,735,342,278,440,98,92
P25339,0,0,0,0,0,0,0,0,0,0,0
P25346,0,0,0,0,0,0,0,0,0,0,0
P25349,0,0,0,0,3,3,0,1,2,1,0
P25371,0,0,0,0,0,0,0,0,0,0,0
P25387,35,48,26,10,17,35,39,54,18,57,10
P25407,49,24,20,0,51,80,25,20,16,16,6
P25472,661,233,375,68,499,671,278,237,216,251,74
P25549,131,55,73,16,85,137,46,45,60,60,24
P25631,4,9,6,1,3,15,13,16,6,0,0
P25686,27,2,15,0,21,25,2,6,15,2,5
P25694,18,7,23,5,21,19,15,11,10,0,3
P25774,144,93,69,2,116,182,91,91,41,35,5
P25776,203,106,89,20,282,239,91,110,82,128,19
P25782,917,270,257,77,877,930,221,520,66,208,110
P25792,339,144,174,40,288,310,137,179,146,37,26
P25796,156,72,61,10,148,183,92,38,65,20,12
P25803,0,0,0,0,0,0,0,0,0,0,0
P25807,255,108,110,23,243,246,116,86,52,41,13
P25822,2171,537,880,125,2806,1836,774,737,436,1351,150
P25840,0,0,0,0,0,0,0,0,0,0,0
P25851,278,74,105,19,296,186,83,73,55,95,41
P25866,160,40,40,7,228,166,90,138,19,151,5
P25997,71,22,43,5,36,45,37,55,39,13,5
P26182,7923,2310,4222,501,8879,6535,2770,3987,1298,4449,570
P26208,2,0,0,0,1,8,0,0,0,0,0
P26263,0,0,0,0,0,0,0,0,0,0,0
P26294,21,16,2,1,33,34,1,18,1,3,6
P26302,768,209,278,24,568,647,294,241,216,126,41
P26368,9,1,1,0,14,8,2,0,0,0,0
P26378,60,15,42,14,38,57,22,52,25,0,16
P26398,44,28,23,5,34,33,16,28,21,7,0
P26446,78,45,46,5,63,47,30,15,30,11,19
P26624,0,0,0,0,0,0,0,0,0,0,0
P26637,0,0,0,0,0,0,0,0,0,0,0
P26646,44,8,3,0,33,45,14,10,5,18,0
P26651,345,74,190,25,262,244,113,146,112,61,33
P26882,229,72,198,35,142,226,100,58,118,50,39
P26883,28,4,10,2,13,25,10,5,11,3,7
P27008,0,0,0,0,0,0,0,0,0,0,0
P27034,200,98,135,17,199,198,114,150,102,31,13
P27118,133,50,91,11,86,108,72,60,46,12,10
P27131,170,75,165,20,265,128,67,95,19,74,14
P27161,144,85,125,10,142,136,59,86,73,36,4
P27166,0,0,0,0,0,0,0,0,0,3,0
P27237,89,20,39,13,112,91,23,36,19,20,7
P27319,0,0,0,0,0,0,0,0,0,0,0
P27361,37,20,23,0,30,19,11,14,15,2,0
P27398,240,147,140,35,207,224,103,63,79,45,20
P27420,0,37,7,0,36,60,22,24,5,10,0
P27448,256,93,167,33,263,224,74,120,104,40,10
P27456,304,56,119,5,306,254,106,78,59,133,19
P27482,0,0,0,0,0,0,0,0,0,0,0
P27484,42,14,80,0,48,56,11,29,7,23,5
P27514,8,0,2,0,4,4,4,0,6,0,5
P27525,0,0,0,0,0,0,0,0,0,0,0
P27526,9,3,5,2,14,18,6,4,7,0,0
P27643,257,153,231,33,297,307,143,190,92,37,16
P27694,1,0,0,0,2,0,0,0,0,0,0
P27730,0,13,0,11,1,0,0,0,0,0,7
P27732,144,47,100,24,106,157,113,59,88,13,12
P27766,128,27,75,3,145,139,72,46,37,76,26
P27774,0,0,0,0,0,0,0,0,0,0,0
P27797,0,0,0,0,0,0,0,0,0,0,0
P27798,0,0,0,0,0,0,0,0,0,0,0
P27808,117,49,134,28,116,152,50,77,92,31,35
P27821,252,101,145,19,177,305,104,111,127,30,19
P27823,6,0,0,0,0,0,0,0,3,0,0
P27884,104,20,50,13,82,64,40,16,40,5,9
P27932,122,50,90,18,131,162,63,60,48,27,4
P27934,94,60,17,1,146,69,39,12,27,15,4
P27968,186,0,116,0,236,175,90,87,33,123,0
P27985,0,0,0,0,0,0,0,0,0,0,0
P28178,592,273,493,86,567,650,281,241,345,129,26
P28227,147,66,79,23,100,136,50,22,50,41,26
P28268,1,0,0,0,3,2,0,0,0,0,0
P28287,7874,1784,3825,397,7312,6102,2674,2866,1383,4300,561
P28288,209,123,88,43,212,282,138,115,98,37,19
P28297,1641,552,829,71,2161,1438,638,680,270,1250,81
P28370,65,13,30,0,71,45,5,18,12,3,6
P28472,23,15,3,2,14,20,8,8,9,8,0
P28493,78,19,61,16,75,46,27,25,6,34,2
P28547,0,0,0,0,0,0,0,0,0,0,0
P28568,478,151,218,47,474,396,183,207,80,216,69
P28573,120,26,38,6,127,98,46,28,15,29,2
P28582,302,110,113,13,242,174,122,83,92,59,13
P28634,68,14,36,2,50,34,23,31,18,0,3
P28644,25,13,21,5,39,32,10,8,17,17,8
P28734,113,70,90,23,178,128,83,50,39,65,10
P28741,1,0,12,0,0,0,0,0,1,0,0
P28745,121,58,77,21,108,87,54,38,42,22,9
P28774,220,89,106,26,239,235,169,84,68,90,13
P28776,146,51,83,10,219,112,61,54,42,53,9
P28829,3,5,13,0,1,8,7,0,6,0,0
P28996,0,0,0,0,0,0,0,0,0,0,0
P29068,138,43,39,17,150,93,42,45,43,62,6
P29185,323,84,98,20,417,331,168,61,70,111,20
P29288,260,109,251,12,248,277,145,186,99,66,15
P29289,31,5,8,7,25,39,6,12,15,7,2
P29311,148,37,68,16,113,98,53,41,43,40,17
P29315,4,2,7,0,2,19,0,2,3,0,0
P29341,518,212,237,31,550,431,210,191,198,84,43
P29344,145,70,37,6,159,89,44,89,21,98,20
P29356,183,38,94,10,126,186,84,81,40,87,18
P29363,124,37,75,25,86,122,25,76,54,40,5
P29451,45,1,30,3,33,42,20,23,10,20,0
P29458,61,20,25,3,50,73,24,17,19,13,10
P29469,0,0,0,0,0,0,0,0,0,0,0
P29504,17,4,6,4,27,35,15,20,8,28,0
P29520,15,2,9,0,8,13,8,4,6,6,0
P29522,0,0,0,0,0,9,0,24,7,38,10
P29551,90,27,75,8,88,119,25,71,40,28,13
P29610,311,59,244,10,231,263,134,111,73,84,32
P29613,0,0,0,0,0,0,1,0,1,0,0
P29618,38,14,6,0,54,59,25,31,18,0,1
P29687,46,13,14,0,53,44,16,10,14,5,3
P29764,0,0,0,0,0,0,0,0,0,0,0
P29828,193,62,146,13,186,213,63,71,43,34,22
P29848,24,16,10,0,23,44,24,13,11,0,1
P29906,37,23,20,12,25,52,11,11,17,17,6
P29957,330,145,177,40,270,326,167,171,155,46,20
P29974,19,22,48,2,21,20,18,42,21,0,0
P29994,101,36,87,22,96,61,44,77,47,9,4
P30044,0,0,0,0,0,0,0,0,0,0,0
P30153,119,29,30,27,90,119,66,34,51,33,22
P30157,329,98,276,24,402,350,137,194,80,173,19
P30161,1716,564,864,146,1911,1470,609,826,399,833,135
P30168,0,0,0,0,0,0,0,0,0,0,0
P30176,62,15,25,0,42,48,17,23,25,4,13
P30182,421,274,176,77,347,412,140,204,191,59,42
P30268,7,0,9,0,10,15,1,11,1,0,0
P30284,0,0,0,0,0,0,0,0,0,0,0
P30352,103,35,45,8,103,66,22,63,35,64,10
P30405,15,4,0,0,6,38,3,2,10,13,4
P30432,16,7,6,0,28,28,9,8,2,7,0
P30536,69,10,23,2,32,19,15,45,11,7,3
P30574,0,0,0,0,0,0,0,0,0,0,0
P30625,0,0,0,0,0,0,0,0,0,0,0
P30638,292,134,179,63,274,318,165,116,137,33,17
P30656,0,0,0,0,0,0,0,0,0,0,0
P30708,0,0,0,0,0,0,0,0,0,0,0
P30741,187,39,100,28,231,160,62,78,49,19,16
P30771,0,0,0,0,7,0,5,3,0,0,0
P30851,54,5,27,1,47,54,20,23,8,0,10
P30863,36,3,7,7,23,19,1,4,10,2,4
P30924,271,102,185,20,197,204,97,98,45,81,34
P31018,1,2,12,4,4,14,1,0,4,0,2
P31052,17,4,3,2,5,36,12,3,10,0,5
P31060,28,3,14,0,4,14,16,8,6,0,0
P31072,60,2,46,5,33,46,26,25,10,5,9
P31171,33,16,44,0,37,46,11,8,10,12,5
P31209,109,23,38,11,91,67,14,21,51,20,3
P31244,127,29,75,7,95,94,68,19,65,15,11
P31251,59,23,39,0,69,72,53,25,27,29,6
P31319,229,68,54,18,210,183,96,90,68,67,30
P31321,0,0,0,0,0,0,0,0,0,0,0
P31414,546,149,298,50,487,407,188,167,151,140,27
P31421,23,16,11,0,27,14,3,5,3,5,0
P31422,6,4,0,6,2,5,2,0,1,0,0
P31448,196,44,105,15,187,141,60,73,116,28,11
P31521,93,42,69,9,35,84,24,22,41,0,13
P31541,147,25,59,10,163,73,43,43,18,33,2
P31564,147,36,59,4,172,83,62,41,25,35,2
P31580,82,21,15,15,110,73,32,37,33,8,2
P31584,19,3,23,0,6,17,0,5,12,12,6
P31592,0,0,0,0,0,0,0,0,0,0,0
P31596,0,0,0,0,0,0,0,0,0,0,0
P31669,334,86,222,38,200,235,148,116,124,38,28
P31674,1865,505,1197,160,1499,1324,760,1273,452,1150,241
P31692,564,181,221,25,554,484,182,285,124,262,75
P31695,0,0,0,0,0,0,1,0,0,0,0
P31777,9,2,0,0,5,3,1,0,2,0,2
P31826,249,86,142,14,198,262,145,87,81,21,16
P31851,278,71,147,31,282,300,174,121,104,98,26
P31942,0,0,0,3,0,0,0,0,0,0,0
P32019,7,4,2,0,8,2,6,0,0,0,1
P32023,106,40,28,8,83,85,28,14,5,43,14
P32111,19,1,16,2,18,21,15,4,13,0,0
P32113,82,6,12,3,22,27,5,9,13,20,2
P32140,45,14,71,5,29,32,16,33,38,8,14
P32331,226,57,138,9,292,227,125,77,60,112,13
P32340,73,14,17,4,48,64,16,43,22,31,7
P32392,39,16,32,7,53,44,20,23,32,7,12
P32418,0,0,0,0,0,0,0,0,0,0,0
P32429,0,0,0,0,2,0,0,4,3,0,0
P32447,9,6,2,0,13,8,0,0,1,2,0
P32456,50,14,12,0,60,70,24,19,11,22,5
P32466,96,20,27,8,58,71,11,40,30,19,0
P32482,140,61,69,4,130,110,43,95,56,20,21
P32486,163,51,42,11,175,167,131,36,66,33,9
P32579,44,22,23,12,45,59,18,26,37,13,11
P32598,0,0,0,0,0,0,0,0,0,0,0
P32614,50,29,25,5,26,28,16,9,17,0,0
P32839,156,41,67,8,169,117,70,48,95,40,8
P32847,0,0,0,0,0,0,0,0,0,0,0
P32861,473,165,198,28,463,403,232,164,104,158,46
P32874,1089,300,429,93,1302,1017,318,411,236,643,62
P33116,108,23,56,4,68,46,25,13,36,21,8
P33121,21,13,3,3,22,13,3,31,1,38,0
P33124,0,0,0,0,0,0,0,0,0,0,0
P33160,0,0,0,0,0,0,0,0,0,0,0
P33175,0,0,0,0,0,9,1,0,0,0,0
P33188,17181,4744,8411,1218,16032,13560,6286,8463,3135,7627,1342
P33189,172,57,61,5,134,83,45,60,60,16,12
P33224,43,3,22,3,31,69,24,13,14,11,12
P33300,2,0,1,0,5,0,1,2,1,0,0
P33313,0,0,0,2,0,0,0,0,0,0,0
P33315,295,93,235,23,300,269,99,130,95,81,26
P33324,179,62,128,14,140,124,54,42,89,46,16
P33327,0,0,0,0,0,0,0,0,0,0,0
P33527,210,58,121,18,169,131,66,74,61,35,32
P33590,73,11,40,6,34,57,8,40,7,24,8
P33610,66,15,53,8,48,58,29,26,30,0,2
P33623,0,0,0,0,0,0,0,0,0,0,0
P33625,0,0,0,0,0,0,35,22,0,41,0
P33723,0,0,0,0,1,0,0,0,0,0,0
P33727,253,89,97,27,283,221,135,138,63,34,16
P33731,196,61,94,21,175,148,54,28,46,62,21
P33742,784,305,463,100,992,710,308,320,247,230,41
P33897,32,16,18,7,25,36,17,19,35,11,8
P33948,408,79,167,14,439,349,106,139,82,173,31
P34024,24,9,31,1,18,18,10,4,18,3,0
P34036,12,0,3,4,9,10,6,0,5,4,5
P34059,18,23,3,0,13,20,23,18,2,0,0
P34091,73,30,62,8,83,49,30,74,16,72,12
P34099,0,0,0,0,0,0,0,0,0,0,0
P34101,310,62,91,26,322,262,116,101,50,99,25
P34102,0,0,0,0,0,0,0,0,0,0,0
P34114,0,0,0,0,0,0,0,0,0,0,0
P34120,130,21,57,9,65,69,22,25,31,18,0
P34124,0,0,0,0,0,0,0,0,0,0,0
P34140,16,9,26,3,12,29,19,5,18,3,7
P34205,3,5,4,0,0,3,0,0,0,0,3
P34213,48,13,48,2,39,26,19,16,10,17,15
P34280,0,0,0,0,0,0,0,0,0,0,0
P34313,95,16,113,5,78,66,37,20,20,15,8
P34329,98,15,80,4,99,103,37,40,32,44,15
P34371,119,47,84,12,77,113,29,26,44,23,17
P34422,116,49,86,13,65,100,71,40,22,5,9
P34477,96,29,63,5,120,112,39,24,20,24,1
P34498,91,30,87,22,73,133,44,21,40,14,32
P34519,93,32,52,2,106,70,13,52,29,44,15
P34534,0,0,0,0,0,0,0,0,0,0,0
P34624,192,58,94,15,180,161,86,76,87,22,17
P34673,233,38,43,2,216,179,54,97,18,62,12
P34703,365,111,152,21,324,291,79,143,98,81,24
P34712,47,5,25,1,26,39,12,18,14,23,3
P34713,0,0,0,0,0,0,0,0,0,0,0
P34730,83,20,40,6,41,69,20,18,23,17,9
P34734,0,0,0,0,1,0,0,0,0,0,0
P34791,29,2,18,4,25,29,10,6,15,16,3
