Entry,mcav_c1,mcav_c3,mcav_c5,mcav_c6,mcav_c7,mcav_c8,mcav_d1,mcav_d2,mcav_d3,mcav_d4,mcav_d5,mcav_d6,mcav_d8
A0A044RE18,0,0,2,0,0,0,0,0,0,0,0,0,0
A0A087WPF7,51,197,554,44,363,699,651,265,422,124,131,334,258
A0A089QRB9,0,0,1,0,2,1,6,4,4,0,0,10,2
A0A0A2JW91,0,1,16,5,3,19,83,62,18,42,0,375,0
A0A0A6YYL3,24,30,68,0,28,84,42,14,72,9,0,15,15
A0A0B4J1F4,0,2,9,0,9,12,6,15,2,3,0,0,1
A0A0C5PHQ7,193,81,75,21,137,149,10,100,93,25,29,19,92
A0A0D3QS97,11,8,32,0,14,16,25,11,45,0,0,22,4
A0A0G2JZ79,10,1,20,5,0,6,8,8,2,1,0,2,4
A0A0G2K2P5,0,0,0,6,0,11,0,0,0,0,0,0,4
A0A0G2KIZ8,1,0,6,0,2,0,9,55,0,0,0,0,0
A0A0G2KQY6,446,243,221,40,259,541,607,410,446,140,63,518,244
A0A0G2L7I0,0,1,5,0,0,1,2,0,2,0,0,0,0
A0A0H2VDN9,0,0,3,0,0,5,11,2,3,1,0,5,1
A0A0H3HIJ5,1,10,16,0,4,24,6,26,27,0,0,8,1
A0A0P0XM10,71,49,96,6,95,250,155,67,260,22,11,126,99
A0A0R4I9Y1,42,59,290,37,127,317,55,407,162,69,0,182,18
A0A0R4IBK5,1050,716,3868,337,2683,2706,783,1572,1681,332,666,2100,619
A0A0R4IC37,176,101,311,35,288,446,388,156,398,122,71,255,191
A0A0R4IES7,97,28,178,48,70,162,116,148,112,29,0,94,68
A0A0R4IFG5,120,56,176,17,123,239,646,158,336,41,29,522,143
A0A0R4IVA4,226,133,812,44,411,696,906,315,590,205,84,1976,184
A0A0R4IXF6,26,48,101,8,86,131,134,38,99,13,62,74,62
A0A140C435,0,10,12,1,0,13,27,0,14,1,0,1,21
A0A166YZY4,312,305,915,85,650,983,676,501,1109,274,158,937,788
A0A167LUQ4,0,0,0,0,4,0,0,0,0,0,0,0,0
A0A1B0GTI8,111,28,114,3,42,138,4653,164,506,466,26,4739,93
A0A1B0GVH7,159,70,313,11,130,366,412,154,330,35,21,162,128
A0A1B4XBH3,2,7,12,54,1,123,47,77,48,15,0,238,10
A0A1B8YAB1,44,5,24,4,9,38,56,12,24,1,0,22,9
A0A1D5P556,169,57,317,28,140,242,531,191,183,40,33,101,47
A0A1D5PRR9,46,22,10,4,35,56,212,41,62,25,16,25,49
A0A1D5PUP4,1,60,18,19,78,49,22,45,104,14,21,50,27
A0A1F4,19,5,27,0,44,42,57,46,82,17,62,95,90
A0A1L8F5J9,25,46,58,11,46,112,68,47,50,0,0,70,61
A0A1L8GXY4,164,50,207,14,163,250,1209,226,560,130,1,498,153
A0A1L8HCK2,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1L8HFX9,2,3,5,0,4,6,20,13,6,0,0,0,5
A0A1P8ASY1,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1U9YHZ9,1,4,8,2,6,5,1295,25,135,0,0,2444,4
A0A1V6PAF7,250,120,602,46,220,486,3794,787,8399,3499,58,27791,142
A0A286QZ36,258,74,215,14,158,348,470,228,328,107,25,124,144
A0A2D0TC04,0,5,18,0,0,30,7,0,0,1,7,0,0
A0A2R8QCI3,0,0,0,1,1,4,0,5,1,0,0,0,0
A0A2R8QPS5,0,2,12,3,1,0,12,0,5,5,0,11,2
A0A2R8Y619,8,3,25,0,8,35,16,9,20,7,22,18,12
A0A383ZFX3,397,229,572,58,459,465,832,341,1805,292,196,502,168
A0A384XR80,31,21,13,6,9,22,6,0,40,8,0,52,6
A0A386CAB9,8,3,14,1,3,9,13,0,12,0,0,4,2
A0A411L030,369,248,303,58,410,464,823,226,770,41,121,570,184
A0A4X1UM84,5,0,3,0,4,2,12,13,6,2,0,8,0
A0A5C1ZW08,0,11,10,1,48,0,11,0,98,4,0,314,0
A0A5C2A2T2,27,1,141,0,29,70,30,23,1,0,19,43,4
A0AUR5,1,1,22,1,2,17,15,0,1,0,18,10,0
A0AUS0,95,50,155,14,74,152,142,55,132,21,17,95,56
A0AUT1,127,147,273,57,209,277,654,165,481,57,60,492,168
A0AVT1,176,97,389,24,218,485,527,209,454,97,104,337,183
A0FI79,70,58,115,18,93,168,238,53,246,30,12,101,104
A0FKN6,0,0,0,0,0,0,0,3,0,0,0,2,0
A0JC51,121,147,185,39,357,649,373,113,182,21,0,68,213
A0JM08,86,98,201,13,78,222,308,105,384,71,0,235,50
A0JM12,40,72,153,23,82,107,156,12,237,0,14,116,53
A0JM13,21,49,133,11,67,171,34,84,221,16,13,121,42
A0JM24,22,12,83,18,74,142,65,3,51,7,0,33,61
A0JM56,4,2,32,1,3,9,39,20,19,10,0,21,3
A0JMA9,40,44,157,5,106,133,139,87,200,31,7,82,52
A0JMD4,0,0,0,0,2,7,0,0,0,0,0,0,0
A0JME2,41,54,107,5,102,197,209,70,172,33,17,213,49
A0JMF1,5,2,37,2,12,24,42,2,16,2,0,0,0
A0JMQ0,65,38,74,5,46,129,198,15,110,23,21,69,75
A0JMU5,0,0,10,1,1,2,9,0,0,0,0,1,1
A0JMW6,24,16,55,1,14,42,50,14,43,9,0,32,15
A0JMY4,159,80,199,24,139,158,695,146,401,91,227,533,131
A0JMY5,17,4,30,1,10,38,42,9,37,5,0,28,10
A0JN61,179,72,164,12,209,305,310,308,337,213,92,296,157
A0JN62,188,75,209,3,157,231,221,244,274,71,29,86,95
A0JN95,28,27,38,2,30,68,80,14,58,19,12,43,22
A0JNA3,1,5,3,0,11,6,4,1,9,2,0,9,10
A0JNB1,39,13,37,8,35,36,54,34,97,19,26,28,34
A0JNC2,251,84,332,27,139,316,499,188,334,72,0,183,95
A0JND3,0,1,4,1,3,12,7,0,0,1,0,0,0
A0JNG7,5,0,5,1,1,20,12,0,2,0,0,0,3
A0JNI4,38,17,38,5,34,65,24,25,68,23,7,13,25
A0JNI5,33,54,428,16,99,255,286,69,191,8,20,125,52
A0JNI8,0,5,4,2,6,4,7,5,0,0,0,8,4
A0JNJ3,214,111,291,31,164,407,1168,133,549,124,78,446,207
A0JP26,0,0,4,0,2,5,1,3,1,5,0,0,0
A0JP70,169,134,261,20,212,426,571,147,402,85,98,261,147
A0JP86,367,103,352,23,222,572,1018,281,396,88,13,212,78
A0JPE9,65,16,235,3,25,141,137,108,77,21,17,50,24
A0JPG1,0,6,19,4,10,36,12,8,11,0,0,0,4
A0JPI9,109,23,104,13,71,123,252,56,141,25,0,98,42
A0JPN4,688,309,1039,97,798,1148,1766,524,1095,241,238,982,448
A0JPP8,166,61,228,24,241,407,297,107,417,87,68,213,166
A0JPQ1,6,1,10,2,5,12,35,12,15,14,0,4,0
A0JPQ7,113,56,198,11,95,236,276,109,244,46,79,175,101
A0JPQ8,2,2,23,0,22,22,47,22,31,6,0,19,1
A0JZ09,4,3,24,0,4,14,12,0,16,1,0,1,13
A0LQY9,3,0,1,0,0,0,6,0,0,0,0,0,2
A0M8T5,41,36,112,11,112,133,17,26,87,12,3,18,75
A0MGZ5,48,9,124,1,56,98,97,56,84,11,0,87,35
A0MSJ1,45,51,216,15,90,169,41,42,112,2,0,37,9
A0MTA1,42,22,98,6,27,84,95,12,61,3,0,26,37
A0MZ67,322,175,578,61,415,872,525,412,650,263,136,507,376
A0NLY7,209,43,109,5,135,536,68,54,138,43,41,47,122
A0PJE2,343,43,188,4,80,160,597,310,95,62,25,30,47
A0PJN4,145,68,199,19,155,310,353,126,212,73,47,194,123
A0QQZ8,0,3,5,2,9,4,7,7,26,3,0,12,0
A0QV10,48,3,20,1,7,8,14,3,18,3,5,3,4
A1A4J8,58,3,65,1,26,57,210,39,60,23,0,21,37
A1A4K8,75,15,78,4,49,89,194,94,102,31,38,97,37
A1A4L5,22,22,62,6,52,75,142,43,78,18,35,57,29
A1A4N1,7,1,9,1,3,18,26,3,16,1,0,8,3
A1A4R8,1,6,4,1,7,7,16,8,39,2,0,9,0
A1A4V9,99,49,124,21,135,148,420,70,282,29,61,296,105
A1A5F2,26,20,112,29,41,108,112,74,84,27,24,41,10
A1A5G0,1,0,12,2,4,7,19,2,7,7,0,4,0
A1A5Q4,128,38,117,3,87,167,413,202,371,132,40,500,82
A1A5V7,5,1,35,5,8,8,5,5,1,1,4,8,0
A1A5X2,11,1,11,0,1,11,4,0,10,1,0,3,0
A1A5Y0,1,3,4,2,10,8,5,4,9,1,0,2,4
A1A600,13,3,32,3,12,34,70,73,22,10,0,30,7
A1DE13,273,46,304,40,80,218,65,331,50,21,3,45,17
A1DPK7,580,278,531,87,477,906,1179,787,1282,348,445,1173,358
A1DWM3,3,1,10,2,2,15,12,0,7,5,0,2,4
A1E295,199,53,175,21,144,380,623,289,722,118,44,228,57
A1KZ92,170,88,210,39,81,357,95,137,394,53,23,167,79
A1L0Y2,165,65,177,18,148,251,291,103,234,38,16,180,120
A1L108,492,251,622,59,567,1268,1652,626,1541,386,204,1014,479
A1L112,117,53,180,18,158,246,323,60,219,50,71,231,119
A1L157,118,13,160,2,70,103,161,131,35,1,6,63,33
A1L1C7,0,0,8,0,6,9,7,54,17,2,0,4,12
A1L1W9,857,388,925,95,662,1005,927,654,755,140,263,484,391
A1L209,125,73,197,43,165,281,428,122,229,62,122,154,166
A1L224,58,21,47,0,36,68,45,17,32,7,15,83,45
A1L251,24,3,12,0,4,31,4,5,5,3,0,5,3
A1L258,61,46,126,7,122,77,65,51,116,20,16,42,30
A1L259,6,2,3,0,4,11,2,4,3,2,0,0,4
A1L2K1,135,49,142,19,102,333,268,117,257,42,12,292,121
A1L2P5,228,99,177,18,419,327,360,45,277,31,19,89,167
A1L2S8,113,71,139,13,78,183,207,82,196,66,36,178,93
A1L3F5,0,4,6,1,8,3,14,1,2,0,0,7,0
A1L3G4,13,23,83,7,25,60,94,20,81,21,1,94,26
A1R8N8,182,50,241,38,257,146,668,244,221,70,26,148,55
A1VBA6,278,131,366,46,319,606,761,257,698,218,127,594,257
A1X283,37,23,103,7,54,78,246,73,124,25,8,50,14
A1XQX2,25,2,26,0,15,27,33,17,14,4,0,12,7
A1XQY1,288,100,280,15,277,415,885,160,263,53,59,263,125
A1Z6E0,167,66,121,25,105,236,710,133,277,95,60,1002,100
A1ZA47,495,133,471,43,416,916,1471,706,563,203,2,288,247
A1ZAB5,39,29,169,4,77,161,113,11,56,6,0,42,9
A1ZAY1,907,225,524,60,365,812,1853,1346,787,216,134,729,576
A2A259,0,1,2,1,0,7,2,0,0,0,0,5,0
A2A3K4,20,3,33,0,7,28,96,49,38,10,0,24,2
A2A3V2,39,8,49,3,14,54,55,17,42,24,5,28,33
A2A432,7,1,10,0,0,7,12,8,9,1,21,0,1
A2A6A1,208,135,351,20,287,456,588,188,602,115,17,313,213
A2A6Q5,4,1,3,1,9,6,16,3,13,2,0,8,4
A2A761,54,34,108,8,78,96,161,29,167,22,0,111,56
A2A825,140,125,354,46,195,441,231,133,398,90,69,200,206
A2A870,120,23,124,11,33,248,91,120,59,39,0,61,50
A2A891,125,110,335,35,145,340,579,181,424,57,46,535,128
A2A8L1,222,164,396,76,346,529,986,300,580,124,96,447,299
A2A8L5,117,99,332,16,150,337,17,99,83,28,41,21,72
A2A8Z1,50,33,110,17,201,158,159,45,142,24,29,83,48
A2A9C3,223,84,556,36,255,499,341,222,332,146,38,262,119
A2AAJ9,0,2,8,0,4,9,4,13,7,0,0,0,0
A2AAY5,347,104,270,13,121,614,655,947,326,20,53,529,161
A2ABU4,7,23,46,6,19,48,3,11,34,4,0,4,12
A2ABV5,72,113,168,14,96,209,316,69,271,45,19,415,85
A2AF47,54,13,76,10,16,82,152,52,48,12,0,62,11
A2AG06,328,172,476,52,312,665,938,426,662,197,155,628,287
A2AGH6,0,0,1,0,0,2,0,0,0,0,0,0,0
A2AGT5,176,59,186,13,70,295,635,290,278,97,41,168,100
A2AGX3,5,1,4,1,0,11,16,0,3,0,0,7,0
A2AHL1,22,37,112,10,51,76,56,58,42,1,0,44,6
A2AIV2,136,219,650,36,175,608,541,361,636,48,19,382,119
A2AIV8,64,37,189,11,47,233,344,216,223,65,15,288,66
A2AJ76,484,286,774,73,406,796,1718,418,1278,318,337,1951,343
A2AJ77,32,16,57,2,29,53,28,19,28,5,0,26,18
A2AJ88,7,0,5,0,1,5,3,1,2,3,0,4,0
A2AJL3,95,85,304,25,252,594,155,162,310,108,25,150,284
A2AJN7,64,31,134,8,46,89,25,81,34,1,0,22,7
A2AJX4,13,0,14,7,2,10,18,5,13,8,0,6,0
A2AKG8,0,2,1,0,0,0,1,0,0,0,0,0,0
A2AKK5,22,16,27,3,11,51,16,7,24,0,0,17,6
A2AKX3,62,27,102,11,106,186,209,54,142,27,8,89,60
A2AM05,0,0,7,2,1,2,0,0,0,0,0,0,0
A2AN08,0,0,1,7,1,0,0,11,4,4,0,7,0
A2AP18,50,55,265,23,84,110,124,75,100,12,107,43,62
A2AQH4,246,188,508,62,378,682,1665,457,709,172,179,1613,257
A2AR02,8,4,25,3,9,22,78,16,24,2,0,34,10
A2ARZ3,52,80,358,22,203,260,165,122,266,11,20,120,123
A2ASI5,4,0,0,2,1,1,0,0,0,0,0,0,0
A2ASQ1,0,0,0,0,0,0,0,0,1,0,0,0,0
A2ASS6,35,98,109,44,49,200,116,49,287,13,11,298,72
A2AU72,71,52,163,7,117,212,552,84,228,36,16,201,107
A2AV25,0,12,64,7,5,26,4,17,42,5,321,48,68
A2AVA0,185,31,258,21,59,213,612,142,153,72,42,1742,57
A2AVQ5,0,1,24,0,3,7,49,0,9,1,0,18,1
A2AWA9,128,46,134,15,81,162,348,122,171,53,51,159,66
A2AX52,49,19,76,88,26,83,49,41,33,21,0,26,15
A2BDA5,0,0,3,0,0,3,2,0,4,0,0,6,0
A2BDB0,1,1,3,0,9,8,4,61,8,3,0,0,2
A2BEA6,126,96,246,18,167,338,276,127,205,44,116,238,109
A2BFP5,42,89,168,9,59,145,128,43,138,5,12,135,38
A2BGR3,24,27,43,9,48,65,31,48,86,17,15,25,42
A2BGS3,15,7,80,1,14,39,37,32,28,6,23,2,1
A2BGT0,325,130,282,40,231,564,458,368,159,83,246,208,315
A2BGU9,21,25,50,1,23,71,47,37,56,9,40,47,39
A2CE44,84,89,179,27,136,190,458,67,249,35,125,380,92
A2CEH0,34,27,123,9,43,110,42,48,69,28,49,56,27
A2CG63,7,1,5,0,1,11,73,8,16,1,0,36,0
A2CI34,1008,562,1004,103,1010,1338,5320,1487,3803,1177,448,2782,706
A2CI35,12,2,6,4,5,2,12,0,2,0,0,0,0
A2RRH5,7,0,16,1,7,36,2,4,14,7,0,3,8
A2RRP1,18,19,191,10,33,208,111,66,78,12,9,50,30
A2RRS8,24,43,91,8,59,76,75,42,89,13,0,78,40
A2RRU1,48,21,44,5,19,57,41,20,47,16,18,11,10
A2RRU4,46,8,58,3,9,33,157,43,20,18,19,11,12
A2RRV3,235,80,357,23,237,448,824,369,432,123,51,327,241
A2RRV9,0,20,17,2,12,33,21,0,11,0,0,8,11
A2RSJ4,246,140,395,52,228,371,653,125,386,63,76,356,204
A2RSX4,50,23,227,3,133,240,504,190,215,135,19,277,141
A2RSY1,134,91,236,40,127,275,521,82,349,44,28,291,113
A2RT67,105,69,165,26,72,298,128,41,214,35,24,231,90
A2RT91,59,14,90,7,35,71,133,61,54,13,29,56,24
A2RTF1,0,3,3,2,0,11,1,0,12,1,0,7,7
A2RTY3,136,102,407,32,148,267,558,84,467,87,62,357,133
A2RU49,71,41,169,8,71,122,235,81,170,60,19,103,73
A2RUV0,183,22,117,56,12,70,161,247,48,116,15,465,18
A2RUV9,36,57,298,11,42,173,203,58,138,24,41,39,92
A2RV01,0,7,5,0,1,4,9,0,6,3,0,8,1
A2SWM2,27,13,26,4,12,33,122,34,78,16,0,47,8
A2T779,50,24,16,2,52,302,66,116,11,26,22,134,21
A2TLM1,130,105,239,39,180,330,150,138,334,54,101,101,240
A2VCX1,41,17,47,3,22,53,48,1,37,3,0,30,5
A2VD00,13,143,144,85,116,365,204,75,226,21,165,485,182
A2VD33,22,1,32,0,6,21,23,10,12,10,0,1,9
A2VD93,32,16,54,8,48,102,141,37,109,29,20,108,48
A2VDC2,249,272,581,93,451,727,276,339,810,284,518,465,314
A2VDD2,489,225,862,56,562,791,1533,684,1211,374,117,1978,438
A2VDJ0,255,122,568,25,200,506,456,342,394,70,0,271,102
A2VDQ7,30,27,64,7,60,93,57,53,94,3,10,45,49
A2VDR8,0,0,0,0,0,0,0,0,1,0,0,0,0
A2VDS1,65,53,192,13,74,198,297,76,187,41,24,154,68
A2VDX7,203,57,195,35,234,527,493,178,404,170,53,215,133
A2VE52,260,125,458,18,322,457,940,136,416,80,125,233,166
A2VE79,103,105,238,45,166,249,205,79,86,22,18,118,159
A3BF39,418,191,485,40,445,637,724,172,549,92,138,313,208
A3FIN4,0,0,2,1,1,2,0,0,0,0,0,0,0
A3KFU9,274,25,382,6,77,348,438,364,102,62,0,83,30
A3KG59,332,133,311,17,242,431,438,188,487,121,17,219,186
A3KMR8,37,31,80,0,37,62,340,86,192,45,22,108,28
A3KMW7,18,0,7,0,12,11,16,20,5,2,0,5,5
A3KMX0,4,5,96,3,11,45,51,37,16,7,0,5,1
A3KNS9,262,150,381,42,300,451,873,312,608,148,17,257,157
A3KP77,74,31,74,7,57,71,89,57,126,34,28,130,37
A3KPN8,42,30,183,5,42,117,109,53,81,28,6,69,38
A3KPP4,14,3,15,3,10,41,20,0,18,11,0,5,12
A3KPW7,49,20,62,6,30,73,75,26,68,13,0,25,31
A3KQS4,282,122,373,42,375,554,932,317,517,100,196,447,352
A3KQV2,82,74,315,17,180,414,214,108,250,93,15,145,171
A3RK75,8,5,0,0,0,12,55,9,29,1,0,90,14
A4D0V7,62,115,768,17,169,513,216,118,232,23,19,149,150
A4D1U4,0,3,83,3,0,37,11,8,7,0,0,8,8
A4D2P6,9,0,13,2,7,26,36,35,12,5,0,5,2
A4D7T3,80,48,195,9,83,163,232,71,150,6,10,83,61
A4F7P5,493,80,606,19,268,470,108,495,455,710,91,82,270
A4FU69,71,35,116,7,59,119,395,155,267,45,0,125,40
A4FUB8,180,71,205,7,159,287,542,168,318,61,36,218,110
A4FUD3,46,16,69,3,43,41,93,31,66,5,0,27,24
A4FUH5,29,7,17,1,11,32,64,41,49,15,5,15,28
A4FUN9,54,31,272,9,20,81,28,97,116,138,30,60,17
A4FUP9,44,91,184,18,196,172,100,39,250,17,61,91,92
A4FUW8,129,112,338,25,218,453,402,63,373,43,128,283,216
A4FUY7,163,114,307,21,398,380,772,220,480,116,35,433,235
A4FUZ5,3,0,0,0,1,3,13,0,0,0,0,12,15
A4FV08,19,6,16,0,16,32,9,17,17,4,0,9,5
A4FV72,55,32,51,3,37,92,151,57,68,27,0,57,37
A4FV84,120,52,161,26,109,224,356,147,193,36,23,121,76
A4G5V4,20,18,83,3,77,122,45,2,59,5,2,70,91
A4GTP4,280,121,631,15,254,530,309,296,663,112,38,190,144
A4IF62,156,76,174,22,136,226,272,107,323,58,75,245,90
A4IF63,84,65,141,23,151,235,90,68,152,30,57,105,122
A4IF93,41,11,17,0,14,30,4,0,26,0,0,0,0
A4IFA7,0,1,6,0,0,4,5,0,7,3,21,1,2
A4IFA8,6,0,10,0,10,22,2,2,7,0,28,3,31
A4IFB1,208,336,840,104,447,722,1053,228,1004,95,243,882,315
A4IFB6,293,113,211,33,210,228,711,238,406,157,58,418,212
A4IFD2,223,218,472,84,287,516,1031,319,600,131,180,617,383
A4IFH4,19,4,39,0,29,40,14,20,39,9,0,9,6
A4IFH5,50,64,199,4,114,262,199,43,296,37,62,120,107
A4IFM3,0,4,8,3,0,2,0,0,7,0,0,8,0
A4IFW2,5,0,11,4,8,4,33,15,7,2,0,7,0
A4IG59,126,18,88,7,58,75,267,56,122,32,0,71,20
A4IG62,16,3,86,2,30,47,48,10,30,0,0,21,8
A4IGH4,48,30,91,13,60,125,146,44,165,21,69,163,71
A4IGL7,25,48,60,12,87,47,149,40,138,15,15,89,7
A4IGM4,24,17,39,2,45,118,83,59,140,18,18,58,25
A4IGY6,0,1,4,0,0,1,1,0,0,0,0,0,2
A4IH36,6,20,30,5,17,123,3,0,2,2,0,3,0
A4IH75,8,22,78,7,27,80,85,30,58,20,10,22,31
A4IHD2,36,16,79,8,26,85,232,53,85,9,0,28,16
A4IHP4,0,2,6,3,3,6,4,4,6,2,0,5,0
A4IHR5,110,41,111,10,65,122,144,43,47,24,35,92,47
A4IHW3,18,55,131,5,15,108,77,73,69,11,0,18,25
A4II73,6,54,81,34,64,86,23,10,98,9,45,60,65
A4IIE8,8,13,21,4,6,26,26,20,4,1,0,16,0
A4IIF2,0,6,16,2,3,8,16,0,16,5,0,9,1
A4IIM3,45,22,88,4,24,100,154,52,89,28,3,89,47
A4IIW0,32,2,38,2,16,47,20,17,20,3,0,8,10
A4IIW7,94,91,255,30,167,303,212,118,421,61,81,188,140
A4IJ06,41,21,57,3,31,54,269,30,67,6,12,105,19
A4K436,48,40,154,14,71,192,112,68,204,30,93,63,124
A4L691,46,31,74,14,34,78,192,72,153,20,65,161,63
A4QN56,150,77,178,13,115,316,255,90,184,31,32,84,99
A4QNE0,195,82,265,33,233,384,895,171,433,130,18,423,216
A4QNE6,22,10,37,9,23,65,113,24,72,21,0,48,53
A4QNG1,46,5,38,3,34,69,75,27,53,7,11,38,24
A4QNP7,78,32,181,6,32,95,689,38,123,25,34,320,27
A4QNR3,0,0,0,0,0,0,5,0,0,3,0,37,0
A4QNS7,7,1,8,0,7,29,11,2,2,0,0,3,3
A4QP78,14,4,13,1,2,18,24,32,15,6,0,8,2
A4QP81,610,585,1354,115,1213,1545,738,585,1678,196,150,834,429
A4RGT4,1,0,0,0,0,0,0,6,0,0,0,2,0
A4UTP7,24,6,31,2,20,46,68,11,28,8,0,46,30
A4VN63,0,0,12,0,0,4,10,4,2,0,0,0,0
A4X1R6,0,3,22,1,5,5,2,28,27,0,0,22,3
A4XU32,91,31,124,8,34,164,536,74,278,85,53,245,94
A4YI89,5,4,16,1,3,10,51,12,45,0,0,166,1
A4ZNR5,5,6,19,1,2,14,10,7,10,4,0,0,0
A5A4K9,89,46,61,5,96,177,698,141,379,137,77,1123,47
A5A6H5,94,5,62,5,23,60,102,122,109,35,30,83,24
A5A6I3,186,57,108,21,106,203,423,143,270,128,45,331,89
A5D6U8,2324,518,2162,82,2076,2519,3974,1589,2495,377,222,2580,763
A5D6V4,0,16,11,4,33,35,16,8,31,4,44,47,18
A5D794,181,57,243,14,116,329,487,264,395,93,4,145,86
A5D7B1,6,34,28,1,16,47,30,18,70,10,0,34,14
A5D7C1,53,76,168,9,79,147,158,31,173,27,18,105,103
A5D7E2,74,18,121,8,49,151,332,106,107,25,32,83,47
A5D7H2,8,4,7,4,4,15,29,16,7,3,0,5,0
A5D7I4,19,4,18,0,8,23,17,12,5,0,0,1,4
A5D8W1,2,3,22,0,8,13,60,17,28,0,0,14,3
A5D9D4,46,42,79,14,66,72,112,37,102,20,35,53,56
A5D9H7,0,0,0,0,0,0,0,0,0,0,0,0,0
A5D9M6,1182,500,1576,148,1161,2320,4007,1476,2044,649,421,2158,950
A5DID3,7,2,10,0,12,23,25,11,22,7,29,11,8
A5GF91,0,0,5,0,0,0,5,2,3,0,0,0,0
A5GFN6,114,49,149,6,82,182,369,159,298,59,0,266,90
A5GFW1,21,0,13,2,12,31,9,9,22,4,0,9,2
A5JYX5,302,77,372,15,336,613,158,298,301,111,88,111,192
A5PF61,15,11,5,4,19,18,36,23,60,10,74,35,6
A5PJ65,0,0,11,0,0,1,8,6,5,4,0,0,0
A5PJK1,8,2,19,0,10,44,6,8,12,0,0,22,26
A5PJV8,51,24,53,0,51,91,39,53,88,35,0,54,23
A5PK16,60,74,135,12,56,115,51,45,292,55,19,105,33
A5PK39,2,4,6,0,4,11,26,0,10,2,0,12,0
A5PK45,112,96,165,10,195,343,93,162,248,52,43,88,141
A5PK46,390,180,233,23,257,573,1295,395,695,290,193,1140,170
A5PK74,0,3,0,0,19,8,11,11,9,0,0,3,9
A5PKF5,2,3,5,0,5,10,23,0,22,0,0,2,3
A5PLK2,151,92,174,27,177,245,255,216,356,60,135,200,140
A5PLK6,6,15,50,4,17,64,22,4,20,3,8,29,45
A5WFR0,1,0,40,15,4,36,48,37,16,0,0,12,10
A5WUL3,44,15,52,0,42,119,116,53,29,26,14,73,59
A5YKK6,4,0,11,3,8,7,7,2,5,5,0,0,0
A6BMK7,15,29,42,2,25,59,40,13,82,16,52,26,27
A6H584,0,2,7,2,20,12,85,4,4,0,0,6,23
A6H603,380,369,1392,68,817,1022,817,440,851,121,174,606,375
A6H6W9,1,5,21,3,5,6,15,2,9,6,0,9,3
A6H6X4,4,0,0,0,0,22,6,12,7,0,0,12,8
A6H730,11,9,17,0,38,261,3,11,4,3,14,2,12
A6H779,87,174,376,81,476,234,195,80,391,39,188,319,265
A6H791,34,88,64,51,133,97,127,27,213,16,55,114,84
A6H7B8,66,69,145,25,100,153,177,90,310,58,55,342,101
A6H7G2,635,444,1245,145,762,1175,1370,776,2476,576,430,1257,443
A6H7H1,205,51,215,13,143,347,659,106,253,108,27,127,109
A6H7H7,134,55,105,10,107,136,169,73,183,32,38,107,104
A6H7I8,84,30,107,3,65,146,317,90,100,28,8,101,21
A6H8I0,3,2,8,1,5,11,26,1,1,3,0,20,4
A6H8I2,41,18,69,13,25,65,96,86,22,11,0,47,11
A6H8J1,55,17,59,6,27,70,155,43,38,12,0,23,17
A6H8T2,36,29,140,19,108,210,438,87,285,37,36,226,93
A6H8T7,191,94,441,28,264,460,747,288,556,96,48,567,219
A6H8Z2,1076,621,1291,163,1098,1542,3590,1272,2280,585,484,2510,862
A6JUQ6,50,9,97,4,47,155,76,31,26,19,0,16,70
A6KWR4,82,37,86,8,85,111,207,74,208,36,7,60,46
A6MFL0,326,138,502,27,155,136,180,105,246,17,46,88,30
A6NCI4,168,116,340,37,209,401,768,225,445,77,103,536,229
A6NE52,3,0,7,0,1,2,5,12,3,0,0,3,0
A6NFD8,352,37,184,18,60,93,332,261,19,33,0,65,33
A6NFN3,20,11,61,2,33,57,82,16,31,13,22,17,19
A6NFN9,22,15,67,2,20,92,83,54,62,9,0,32,40
A6NGN9,0,0,1,0,0,1,1,0,0,0,0,0,0
A6NHR9,0,0,2,4,0,4,0,3,0,0,0,0,0
A6NIH7,248,126,330,20,275,492,1951,340,952,184,49,1418,241
A6NJI9,82,32,158,10,99,195,391,133,216,104,103,240,101
A6NJV1,58,13,49,5,76,106,230,57,107,37,17,76,36
A6NK44,0,26,32,5,0,52,0,17,0,5,0,28,0
A6NK53,10,7,81,0,19,31,49,10,16,2,45,11,32
A6NMX2,5,6,27,0,15,5,28,0,22,2,0,0,0
A6NMZ7,97,36,124,197,70,246,87,243,219,28,18,70,16
A6NN14,31,32,77,5,71,117,45,34,109,3,17,28,53
A6NNF4,5,0,6,0,9,8,31,6,7,7,0,12,5
A6NNL5,3,9,41,0,8,97,12,6,41,8,0,7,15
A6QL50,31,13,46,0,20,60,96,41,61,6,0,54,19
A6QLE1,85,39,232,7,69,255,115,92,165,28,5,45,23
A6QLE6,438,172,546,51,489,798,143,311,596,134,72,103,209
A6QLH6,6,2,14,2,5,7,25,2,3,0,0,11,0
A6QLJ0,49,66,257,7,99,184,276,65,293,36,9,181,63
A6QLK6,158,96,251,17,159,205,577,175,430,100,44,344,119
A6QLP7,6741,1583,3714,360,3712,6601,4921,10260,4611,3398,820,3564,2014
A6QLR4,21,13,24,1,11,44,329,15,45,15,17,158,22
A6QLU1,26,4,22,5,24,36,34,20,20,2,0,16,8
