Entry,mcav_c1,mcav_c3,mcav_c5,mcav_c6,mcav_c7,mcav_c8,mcav_d1,mcav_d2,mcav_d3,mcav_d4,mcav_d5,mcav_d6,mcav_d8
P20735,256,89,486,13,258,370,975,277,524,206,29,620,211
P20749,17,8,31,0,10,33,51,34,105,13,0,60,13
P20785,0,2,4,0,1,6,0,0,0,0,0,0,0
P20825,241,212,533,106,465,644,758,284,376,101,173,267,296
P20863,5,1,0,1,2,48,6,0,0,0,0,0,1
P20909,1783,2877,5348,421,4557,8166,212,1089,1741,244,1052,693,1296
P21127,98,98,177,39,144,435,549,158,426,62,106,810,202
P21128,0,0,0,0,0,0,0,2,0,0,0,0,0
P21158,42,4,31,1,4,44,96,29,35,16,0,13,31
P21265,36,20,76,6,45,140,49,42,79,27,0,40,55
P21328,331,476,1106,209,716,1334,1282,358,1171,246,336,977,552
P21329,5,11,32,9,15,35,45,35,50,2,0,30,14
P21399,904,488,1411,77,891,1282,2949,1409,3046,575,516,2891,1001
P21414,0,0,0,0,0,3,0,0,4,0,0,1,2
P21448,0,0,0,0,0,0,3,0,0,0,0,5,2
P21452,19,1,13,0,14,24,2,7,8,0,0,11,11
P21453,0,0,1,0,0,2,0,3,0,0,0,0,0
P21463,17,48,152,2,90,181,185,58,65,8,58,103,92
P21521,27,35,103,11,83,119,197,30,96,22,24,124,62
P21548,6,3,0,2,8,1,2,0,3,2,0,2,0
P21555,0,2,9,2,4,7,0,0,4,0,0,4,0
P21575,20,4,33,4,10,36,60,41,17,6,0,29,5
P21580,383,201,447,41,190,626,1512,381,1044,222,222,889,242
P21613,96,27,135,22,42,149,318,199,72,25,0,63,18
P21670,488,143,396,28,332,595,1535,503,741,316,227,685,296
P21692,6079,3,34,2,4,88,68,242,20,2,68,46,78
P21757,18,15,20,0,15,69,3,27,47,3,0,1,1
P21783,5,0,1,0,4,1,2,0,5,1,0,2,0
P21804,73,62,111,2,105,156,254,36,197,20,22,153,70
P21856,39,14,55,10,58,107,202,32,71,2,0,114,69
P21868,63,26,88,4,30,93,144,62,87,15,0,35,7
P21902,1108,378,186,73,472,844,547,496,611,219,434,150,674
P21910,12,8,232,1,10,60,1,2,10,1,0,0,8
P21926,5,0,0,0,0,3,0,0,0,0,0,0,0
P21927,139,49,158,20,128,170,156,102,184,48,29,114,130
P21932,32,18,67,10,36,53,104,33,34,0,0,70,33
P21956,532,119,184,84,432,295,1265,297,149,31,114,823,587
P22003,38,38,87,11,91,170,40,30,34,16,9,7,27
P22031,2,0,0,0,7,6,4,21,4,0,0,0,0
P22033,326,74,365,9,159,382,605,403,885,201,76,484,161
P22045,92,38,176,22,152,450,270,112,151,51,80,192,171
P22102,43,5,46,1,32,100,180,82,101,20,0,36,21
P22105,170,85,139,16,135,177,780,95,191,39,18,457,76
P22127,49,48,117,15,97,148,405,82,207,27,14,382,61
P22182,347,156,414,41,282,632,207,95,373,59,164,33,152
P22292,269,134,396,37,385,711,509,281,535,110,135,417,263
P22303,17,10,18,9,47,92,44,21,94,13,5,69,35
P22366,7,19,73,5,35,87,162,41,73,21,0,51,18
P22455,34,56,516,15,183,189,108,19,110,14,122,263,33
P22462,16,0,0,9,11,34,0,6,0,10,9,0,18
P22570,228,161,393,56,299,502,458,314,566,220,137,295,249
P22589,0,0,0,1,0,2,0,0,0,0,0,0,0
P22607,346,280,953,83,602,1155,3722,516,1467,139,249,3414,499
P22648,14,15,54,11,23,25,4,32,32,4,0,8,3
P22725,899,492,1482,122,1077,2133,2005,922,1303,405,166,788,539
P22735,3,0,0,3,1,2,12,9,11,2,0,8,2
P22739,31,43,50,11,50,51,99,48,49,6,13,69,46
P22756,0,0,0,0,0,0,1,0,0,0,0,0,0
P22757,2,1,2,0,30,11,60,2,10,4,0,9,6
P22758,41,16,6,5,9,19,7,25,17,12,0,7,8
P22770,413,371,780,59,630,876,486,299,340,82,190,319,341
P22771,0,0,0,0,0,2,0,0,0,0,0,0,0
P22792,8,19,241,1,103,344,157,28,26,2,0,21,33
P22807,38,17,25,7,30,69,37,8,9,5,0,14,18
P22845,53,8,21,27,16,53,215,35,49,18,12,47,23
P22897,908,568,1139,129,990,1051,807,1251,1116,233,253,702,692
P22984,148,104,256,29,143,299,91,84,252,37,194,118,144
P23004,1343,461,1222,127,1286,1628,2259,1457,1485,824,560,2056,580
P23034,11,2,15,1,7,42,19,17,5,1,11,2,5
P23074,34,25,140,13,73,78,160,59,63,35,0,190,49
P23098,841,329,1657,111,864,1426,3074,1424,1433,519,119,1501,614
P23220,47,4,37,5,20,73,12,47,23,12,0,3,8
P23249,42,15,65,6,52,205,114,70,78,16,0,24,44
P23377,6,105,453,28,234,505,70,39,171,35,191,114,219
P23381,274,121,327,23,320,413,810,292,583,113,62,400,230
P23398,0,0,0,0,1,0,0,0,0,0,0,0,0
P23403,12459,4353,8167,2245,8050,12120,8466,13979,11117,8619,5867,11282,5506
P23468,5,10,60,53,20,98,73,20,54,34,20,50,0
P23469,3,15,61,2,13,16,30,19,65,21,0,23,8
P23506,921,535,1328,169,1288,2134,2284,1264,2747,702,428,1601,967
P23508,198,106,326,18,236,501,804,218,395,55,42,295,116
P23572,54,0,28,0,22,64,20,94,59,25,51,33,30
P23588,23,22,44,16,18,59,121,49,51,7,0,64,5
P23589,0,5,5,1,6,8,7,0,11,1,1,15,4
P23610,279,166,382,52,391,804,790,261,769,199,157,632,314
P23654,43,28,72,1,44,101,47,58,42,11,18,27,23
P23687,4,0,39,0,3,14,38,14,10,1,0,7,12
P23709,216,77,240,25,183,292,416,219,389,93,160,376,117
P23711,427,213,617,34,536,786,628,427,635,87,127,186,265
P23757,5,11,4,2,3,12,1,9,21,1,0,7,6
P23760,1,5,6,0,0,5,1,0,7,0,0,22,0
P23770,176,76,230,19,128,451,237,77,308,49,35,129,91
P23780,358,89,377,32,274,492,808,480,833,196,32,328,151
P23785,12,2,37,0,19,11,34,23,41,7,0,14,1
P23787,649,312,704,98,723,1299,3354,766,1909,379,462,2730,659
P23790,2,0,9,0,0,1,2,0,1,3,0,0,0
P23818,188,142,419,24,200,417,125,94,89,34,25,74,123
P23819,0,0,10,0,5,8,3,0,0,2,0,7,4
P23913,6,2,22,3,4,34,21,19,9,15,0,3,5
P23945,0,1,19,0,0,0,0,12,15,0,0,0,0
P23965,13,21,68,7,55,119,46,88,72,14,13,61,42
P23978,2961,1282,4473,269,3374,6021,8493,2095,4190,1084,694,6068,1802
P24008,47,52,109,18,48,164,244,56,149,42,0,100,85
P24014,0,0,2,0,0,0,0,0,0,0,0,0,0
P24044,32,12,42,0,16,42,24,16,7,0,0,29,20
P24045,0,2,5,1,1,4,12,0,5,0,0,1,7
P24046,0,37,29,17,26,39,29,11,29,0,0,48,32
P24049,17200,5469,8440,2037,8569,14762,12911,24298,14518,11041,5910,12999,7011
P24156,78,28,70,8,39,58,220,55,215,46,36,146,25
P24369,576,364,680,59,934,1732,499,395,1177,171,456,405,447
P24386,117,82,125,17,191,138,248,72,221,46,77,200,101
P24408,237,132,341,19,305,537,661,272,530,125,7,342,208
P24409,897,597,1537,119,1257,2100,2148,847,2118,564,306,906,791
P24461,0,0,6,0,1,0,0,0,0,1,0,4,0
P24507,2,1,2,0,7,8,2,1,5,0,0,0,0
P24523,45,11,62,9,78,92,580,75,227,27,24,267,85
P24524,30,20,128,3,13,64,27,3,41,4,0,23,45
P24549,19,7,46,5,18,36,4,32,50,1,1,5,11
P24603,136,38,111,14,130,201,144,36,51,17,60,262,89
P24610,112,43,115,6,61,1167,369,782,750,217,28,349,486
P24628,173,145,211,38,173,217,656,280,340,75,45,681,93
P24731,0,0,0,0,0,8,6,0,2,0,0,6,1
P24733,4164,837,3137,371,2950,6562,4779,3401,3954,1158,389,2028,819
P24798,62,4,42,3,24,0,0,44,37,14,0,24,5
P24821,0,2,5,1,4,31,386,23,40,8,0,147,7
P24861,77,11,38,9,23,178,32,40,143,49,0,73,79
P25054,349,172,502,63,358,608,1007,357,608,83,133,578,247
P25059,5,1,0,0,0,7,0,0,0,0,0,0,1
P25099,0,0,0,0,0,0,0,0,0,0,0,0,0
P25100,21,15,54,5,41,16,5,9,18,11,3,18,5
