sample
M_c1_Mcav_reference_transcriptome_quant
M_c3_Mcav_reference_transcriptome_quant
M_c5_Mcav_reference_transcriptome_quant
M_c6_Mcav_reference_transcriptome_quant
M_c7_Mcav_reference_transcriptome_quant
M_c8_Mcav_reference_transcriptome_quant
M_d1_Mcav_reference_transcriptome_quant
M_d2_Mcav_reference_transcriptome_quant
M_d3_Mcav_reference_transcriptome_quant
M_d4_Mcav_reference_transcriptome_quant
M_d5_Mcav_reference_transcriptome_quant
M_d6_Mcav_reference_transcriptome_quant
M_d8_Mcav_reference_transcriptome_quant
