sample
P_c1_Past_reference_transcriptome_quant
P_c5_Past_reference_transcriptome_quant
P_c6_Past_reference_transcriptome_quant
P_c7_Past_reference_transcriptome_quant
P_d1_Past_reference_transcriptome_quant
P_d2_Past_reference_transcriptome_quant
P_d3_Past_reference_transcriptome_quant
P_d4_Past_reference_transcriptome_quant
P_d5_Past_reference_transcriptome_quant
P_d6_Past_reference_transcriptome_quant
P_d7_Past_reference_transcriptome_quant
