sample
P_c3_Pstr_reference_transcriptome_quant
P_c5_Pstr_reference_transcriptome_quant
P_c7_Pstr_reference_transcriptome_quant
P_c8_Pstr_reference_transcriptome_quant
P_d3_Pstr_reference_transcriptome_quant
P_d5_Pstr_reference_transcriptome_quant
P_d7_Pstr_reference_transcriptome_quant
