sample
O_c1_Oann_reference_transcriptome_quant
O_c2_Oann_reference_transcriptome_quant
O_c3_Oann_reference_transcriptome_quant
O_c6_Oann_reference_transcriptome_quant
O_c7_Oann_reference_transcriptome_quant
O_c8_Oann_reference_transcriptome_quant
O_d1_Oann_reference_transcriptome_quant
O_d3_Oann_reference_transcriptome_quant
O_d6_Oann_reference_transcriptome_quant
O_d7_Oann_reference_transcriptome_quant
O_d8_Oann_reference_transcriptome_quant
