sample
P_c3_SymbB_transcriptome_quant
P_c5_SymbB_transcriptome_quant
P_c7_SymbB_transcriptome_quant
P_c8_SymbB_transcriptome_quant
P_d3_SymbB_transcriptome_quant
P_d5_SymbB_transcriptome_quant
P_d7_SymbB_transcriptome_quant
