sample
P_c1_SymbA_transcriptome_quant
P_c5_SymbA_transcriptome_quant
P_c6_SymbA_transcriptome_quant
P_c7_SymbA_transcriptome_quant
P_d1_SymbA_transcriptome_quant
P_d2_SymbA_transcriptome_quant
P_d3_SymbA_transcriptome_quant
P_d4_SymbA_transcriptome_quant
P_d5_SymbA_transcriptome_quant
P_d6_SymbA_transcriptome_quant
P_d7_SymbA_transcriptome_quant
