sample
C_c2_SymbD_transcriptome_quant
C_c6_SymbD_transcriptome_quant
C_c8_SymbD_transcriptome_quant
C_d2_SymbD_transcriptome_quant
C_d6_SymbD_transcriptome_quant
C_d8_SymbD_transcriptome_quant
