samples
C_c2_Cnat_reference_transcriptome_quant
C_c3_Cnat_reference_transcriptome_quant
C_c4_Cnat_reference_transcriptome_quant
C_c6_Cnat_reference_transcriptome_quant
C_c8_Cnat_reference_transcriptome_quant
C_d2_Cnat_reference_transcriptome_quant
C_d3_Cnat_reference_transcriptome_quant
C_d4_Cnat_reference_transcriptome_quant
C_d6_Cnat_reference_transcriptome_quant
C_d8_Cnat_reference_transcriptome_quant
